consumer,resource_original,resource_collapsed,resource_group,reference,reference_lins,observations
Cephalorhynchus commersonii commersonii,Halicarcinus planatus,Halicarcinus planatus,Decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-15,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Illex argentinus,Illex argentinus,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-11,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Macruronus magellanicus,Macruronus magellanicus,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-10,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Odontesthes spp.,Odontesthes sp.,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-8,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Patagonotothen spp.,Patagonotothen sp.,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-5,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Sprattus fuegensis,Sprattus fuegensis,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-9,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Zoarcids,Zoarcidae,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-6,SIA (bone collagen) - Stomach contents
Champsocephalus esox,Patagonotothen cornucola,Patagonotothen cornucola,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,Gut content
Champsocephalus esox,Patagonotothen sima,Patagonotothen sima,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,Gut content
Champsocephalus esox,Patagonotothen tessellata,Patagonotothen tessellata,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,Stomach content
Chironomidae,Detritus,Detritus,Non-living,,https://www.scielo.br/j/isz/a/bDrCDYjPB5jgPmsKhxq5FQp/#,
Chironomidae,Diatoms,Diatoms,Phytoplankton,,https://www.scielo.br/j/isz/a/bDrCDYjPB5jgPmsKhxq5FQp/#,
Chloephaga hybrida,Macroalgae,Brown Algae,Macroalgae,Venegas (1985),"Venegas, C. 1985-1986. Prospección aérea de gansos (Chloephaga) en la estepa central de Magallanes. Anales del Instituto de la Patagonia 16: 67˗73.",Stomach content
Cilus gilberti,Amphipoda,Amphipoda,Amphipoda,Reyes & Hüne (2012),Peces del sur de Chile,
Cilus gilberti,Ulva lactuca,Green Algae,Macroalgae,Reyes & Hüne (2012),Peces del sur de Chile,
Cilus gilberti,Polychaetes,Polychaeta,Polychaeta,Reyes & Hüne (2012),Peces del sur de Chile,
Copepoda,Detritus,Detritus,Non-living,,,
Copepoda,Phytoplankton,Phytoplankton,Phytoplankton,,,
Copepoda,Zooplankton,Zooplankton,Zooplankton,,,
Copepoda (nauplius),Nanoflagellates,Phytoplankton,Phytoplankton,,https://link.springer.com/article/10.1007/s00227-009-1353-4,
Cosmasterias lurida,Arbacia dufresnii,Arbacia dufresnii,Echinodermata,Garrido et al. (2021),,
Cosmasterias lurida,Aulacomya atra,Bivalvia,Bivalvia,Garrido et al. (2021),,
Cosmasterias lurida,Austrochlamys natans,Bivalvia,Bivalvia,Andrade unpub.,,In situ observation
Cosmasterias lurida,Trophon geversianus,Gastropoda,Gastropoda,,,
Cosmasterias lurida,Loxechinus albus,Loxechinus albus,Echinodermata,Garrido et al. (2021),,
Cosmasterias lurida,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade unpub.,,In situ observation
Cosmasterias lurida,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Garrido et al. (2021),,
Cottoperca gobio,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E,
Cottoperca gobio,Macruronus magellanicus,Macruronus magellanicus,Pisces,,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E,
Cottoperca gobio,Munida gregaria,Munida gregaria,Decapoda,Vinuesa & Varisco (2007),https://www.scielo.cl/scielo.php?pid=S0717-71782007000200003&script=sci_arttext&tlng=pt,
Cottoperca gobio,Patagonotothen tessellata,Patagonotothen tessellata,Pisces,,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E,
Cottoperca gobio,Peltarion spinulosum,Peltarion spinulosum,Decapoda,,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E,
Cottoperca gobio,Sprattus fuegensis,Sprattus fuegensis,Pisces,,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E,
Crepipatella dilatata,Macrocystis pyrifera,Brown Algae,Macroalgae,C. Andrade unpub.,,Gut content
Darina solenoides,Detritus,Detritus,Non-living,,,
Darina solenoides,Phytoplankton,Phytoplankton,Phytoplankton,,,
Doryteuthis gahi,Munida gregaria,Benthic Decapoda,Decapoda,Almonacid (pers. comm),,
Doryteuthis gahi,Sprattus fuegensis  ,Sprattus fuegensis  ,Pisces,Almonacid (pers. comm),,
Eleginops maclovinus,Acanthocyclus albatrossis,Acanthocyclus albatrossis,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Eleginops maclovinus,Acanthocyclus albatrossis ,Acanthocyclus albatrossis ,Decapoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,In situ observation
Eleginops maclovinus,Amphipoda,Amphipoda,Amphipoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Gammaridae,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,In situ observation
Eleginops maclovinus,Appendicularians,Appendicularia,Tunicata,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Decapoda,Benthic Decapoda,Decapoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Brachiopods,Brachiopoda,Brachiopoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Ectocarpus sp.,Brown Algae,Macroalgae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Cephalopods,Cephalopoda,Cephalopoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Copepods,Copepoda,Copepoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Oscillatoria sp.,Cyanobacteria,Cyanobacteria,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Acari,Detritus,Non-living,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Exosphaeroma gigas,Exosphaeroma gigas,Isopoda,Andrade unpub.,,Stomach content
Eleginops maclovinus,Fish,Fish,Pisces,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Forams,Foraminifera,Foraminifera,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Cladophora sp.,Green Algae,Macroalgae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Enteromorpha sp.,Green Algae,Macroalgae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Rhizoclonium sp.,Green Algae,Macroalgae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Ulva sp.,Green Algae,Macroalgae,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Eleginops maclovinus,Ulva sp.,Green Algae,Macroalgae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Halicarcinus planatus,Halicarcinus planatus,Decapoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Isopoda,Isopoda,Isopoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Ostracods,Ostracoda,Ostracoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Ostracods,Ostracoda,Ostracoda,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Platynereis australis,Polychaeta,Polychaeta,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Ceramium sp.,Red Algae,Macroalgae,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Sediment,Sediment,Non-living,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379,Stomach content
Eleginops maclovinus,Tanaidae,Tanaidae,Malacostraca,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Enteroctopus megalocyathus,Peltarion spinulosum,Benthic Decapoda,Decapoda,Sepúlveda (pers. comm),,
Enteroctopus megalocyathus,Tawera elliptica,Bivalvia,Bivalvia,Sepúlveda (pers. comm),,
Euphausia lucens,Phytoplankton,Phytoplankton,Phytoplankton,,,
Euphausia vallentini,Centric diatoms,Diatoms,Phytoplankton,,https://academic.oup.com/plankt/article/33/8/1212/1441310?login=false,
Euphausia vallentini,Phytoplankton,Phytoplankton,Phytoplankton,,https://academic.oup.com/plankt/article/33/8/1212/1441310?login=false,
Eurypodius latreillei,Bryozoans,Bryozoa,Bryozoa,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation
Eurypodius latreillei,Forams ,Foraminifera,Foraminifera,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation
Eurypodius latreillei,Halicarcinus planatus,Halicarcinus planatus,Decapoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation (laboratory)
Eurypodius latreillei,Isopoda,Isopoda,Isopoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,Field observation
Eurypodius latreillei,Pagurus sp.,Pagurus sp.,Crustacea,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf,In situ observation (laboratory)
Exosphaeroma gigas,Detritus,Detritus,Non-living,,,
Fissurella oriens,Macroalgae,Brown Algae,Macroalgae,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,In situ observation
Fissurella oriens,Macrocystis pyrifera,Brown Algae,Macroalgae,Andrade unpub.,,In situ observation
Fissurella radiosa,Macroalgae,Brown Algae,Macroalgae,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,In situ observation
Fissurella radiosa,Macrocystis pyrifera,Brown Algae,Macroalgae,Andrade unpub.,,
Foraminifera,Copepods,Copepoda,Copepoda,,https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf,
Foraminifera,Phytodetritus,Phytodetritus,Non-living,,https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf,
Foraminifera,Phytoplankton,Phytoplankton,Phytoplankton,,https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf,
Gaimardia trapesina,Phytoplankton,Phytoplankton,Phytoplankton,,,
Gammaridae,Detritus,Detritus,Non-living,,,
Gammaridae,Phytoplankton,Phytoplankton,Phytoplankton,,,
Gammaridae,Zooplankton,Zooplankton,Zooplankton,,,
Genypterus blacodes,Amphipoda,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Lithodes santolla,Benthic Decapoda,Decapoda,Andrade unpub.,,Stomach content
Genypterus blacodes,Munida gregaria,Benthic Decapoda,Decapoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Observation in stomach content
Genypterus blacodes,Merluccius sp.,Merluccius sp.,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Odontesthes spp.,Odontesthes sp.,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Patagonotothen spp.,Patagonotothen sp.,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Genypterus blacodes,Sprattus fuegensis,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,Stomach content
Halicarcinus planatus,Detritus,Detritus,Non-living,C. Andrade unpub.,,Observed in stomach content
Halirytus magellanicus,Detritus,Detritus,Non-living,,,
Halirytus magellanicus,Diatoms,Diatoms,Phytoplankton,,,
Harpagifer bispinis,Gammaridae,Amphipoda,Amphipoda,Hüne & Vega (2016),,
Harpagifer bispinis,Exospheroma gigas,Exosphaeroma gigas,Isopoda,Hüne & Vega (2016),,
Harpagifer bispinis,Isopoda,Isopoda,Isopoda,Andrade unpub.,,
Harpagifer bispinis,Polychaetes,Polychaeta,Polychaeta,Hüne & Rivera (2010),,
Harpagifer bispinis,Tanaidae,Tanaidae,Malacostraca,Hüne & Vega (2016),,
Hydrozoa,Detritus,Detritus,Non-living,,,
Hydrozoa,Phytoplankton,Phytoplankton,Phytoplankton,,,
Hydrozoa,Zooplankton,Zooplankton,Zooplankton,,,
Illex argentinus,Themisto gaudichaudii,Amphipoda,Amphipoda,,https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y,
Illex argentinus,Copepods,Copepoda,Copepoda,,https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y,
Illex argentinus,Doryteuthis gahi ,Doryteuthis gahi,Cephalopoda,,https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y,
Illex argentinus,Euphausia lucens,Pelagic Crustacea,Crustacea,,https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y,
Isopoda,Macroalgae,Brown Algae,Macroalgae,,,
Isopoda,Detritus,Detritus,Non-living,,,
Isopoda,Phytodetritus,Phytodetritus,Non-living,,,
Labidiaster radiosus,Exosphaeroma gigas,Exosphaeroma gigas,Isopoda,C. Andrade unpub.,,
Lagenorhynchus australis,Myxine australis,Detritus,Non-living,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Eleginops maclovinus,Eleginops maclovinus,Pisces,Schiavini et al. (1997),,
Lagenorhynchus australis,Enteroctopus megalocyathus,Enteroctopus megalocyathus,Cephalopoda,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,In situ observation
Lagenorhynchus australis,Genypterus blacodes,Genypterus blacodes,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Illex argentinus,Illex argentinus,Cephalopoda,Schiavini et al. (1997),,
Lagenorhynchus australis,Macruronus magellanicus,Macruronus magellanicus,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Patagonotothen tessellata,Patagonotothen tessellata,Pisces,Viddi & Lescrauwaet (2005),https://www.vliz.be/imisdocs/publications/ocrd/102931.pdf,
Lagenorhynchus australis,Salilota australis,Salilota australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Lagenorhynchus australis,Salp,Salp,Tunicata,Schiavini et al. (1997),https://oceanrep.geomar.de/id/eprint/53025,
Lagenorhynchus australis,Zoarcids,Zoarcidae,Pisces,,https://oceanrep.geomar.de/id/eprint/53025/1/3857.pdf,
Larus dominicanus,Darina solenoides,Bivalvia,Bivalvia,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348,
Larus dominicanus,Gaimardia trapesina,Gastropoda,Gastropoda,Hockey (1988),https://doi.org/10.1007/BF00379614,Stomach content
Larus dominicanus,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade unpub.,,In situ observation
Lithodes santolla,Bivalves,Bivalvia,Bivalvia,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/64,Stomach content
Lithodes santolla,Macrocystis pyrifera,Brown Algae,Macroalgae,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/56,In situ observation
Lithodes santolla,Bryozoans,Bryozoa,Bryozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/58,Stomach content
