ID,Prey,Predator,Reference,Reference_link
25,Patagonotothen cornucola,Austrolycus depressiceps,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
26,Polychaeta,Austrolycus depressiceps,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
27,Bivalvia (larvae),Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
28,Calanoid (copepodite),Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
29,Copepoda (egg),Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
30,Copepoda (nauplius),Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
31,Detritus,Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
32,Ostracoda,Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
33,Plankton diatom,Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
34,Salp,Bathylagichthys parini (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
35,Mytilus sp.,Benthic decapoda,Andrade (pers. comm.),
36,Phytoplankton,Bivalvia,Arapov et al. (2010),https://ribarstvo.agr.hr/articles/5795_BIVALVE_FEEDING_HOW_AND_WHAT_THEY_EAT__en.pdf
37,Benthic diatom,Bivalvia (larvae),Arapov et al. (2010),https://ribarstvo.agr.hr/articles/5795_BIVALVE_FEEDING_HOW_AND_WHAT_THEY_EAT__en.pdf
38,Plankton diatom,Bivalvia (larvae),Farías et al. (2003),https://www.sciencedirect.com/science/article/pii/S0044848603002722
39,Phytoplankton,Brachiopoda,Peck et al. (1987),https://www.sciencedirect.com/science/article/abs/pii/0022098187901420?via%3Dihub
40,Phytoplankton,Bryozoa,Winston (1981),https://www.cambridge.org/core/journals/series-in-geology-notes-for-short-course/article/abs/feeding-behavior-of-modern-bryozoans/D38156D6C6C0553E2EF87DA56EF05AC8
41,Zooplankton,Bryozoa,Winston (1981),https://www.cambridge.org/core/journals/series-in-geology-notes-for-short-course/article/abs/feeding-behavior-of-modern-bryozoans/D38156D6C6C0553E2EF87DA56EF05AC8
42,Exosphaeroma gigas,Bunodactis octoradiata,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/386
43,Phytoplankton,Calanoid (copepodite),Cañete (pers. comm.),
44,Bivalvia,Calidris canutus,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf
45,Bivalvia,Callorhinchus callorynchus,Di Giacomo & Perier (1996),https://www.publish.csiro.au/mf/mf9960801
46,Zooplankton,Campylonotus vagans,Thatje et al. (2004),https://www.sciencedirect.com/science/article/pii/S0022098103005021?casa_token=teBJHmRgoUoAAAAA:XLM3A_oEKvJ3sW1mYuQ4kkTU-GgKioakdkP34Pf_SE9cXTIR7RFCMIwNbATLhbKFGijc4n5P4A
47,Benthic decapoda,Cephalopoda,Sepúlveda (pers. comm),
48,Bivalvia,Cephalopoda,Sepúlveda (pers. comm),
49,Benthic decapoda,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-16
50,Doryteuthis gahi,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-12
51,Eleginops maclovinus,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-7
52,Enteroctopus megalocyathus,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-13
53,Halicarcinus planatus,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-15
54,Illex argentinus,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-11
55,Macruronus magellanicus,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-10
56,Odontesthes sp.,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-8
57,Patagonotothen sp.,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-5
58,Sprattus fuegensis,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-9
59,Zoarcidae,Cephalorhynchus commersonii commersonii,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-6
60,Patagonotothen cornucola,Champsocephalus esox,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
61,Patagonotothen sima,Champsocephalus esox,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
62,Patagonotothen tessellata,Champsocephalus esox,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
63,Detritus,Chironomidae,Galizzi et al (2012),https://www.scielo.br/j/isz/a/bDrCDYjPB5jgPmsKhxq5FQp/#
64,Plankton diatom,Chironomidae,Galizzi et al (2012),https://www.scielo.br/j/isz/a/bDrCDYjPB5jgPmsKhxq5FQp/#
65,Brown algae,Chloephaga hybrida,Venegas (1985),"Venegas, C. 1985-1986. Prospección aérea de gansos (Chloephaga) en la estepa central de Magallanes. Anales del Instituto de la Patagonia 16: 67˗73."
66,Amphipoda,Cilus gilberti,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
67,Polychaeta,Cilus gilberti,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
68,Green algae,Cilus gilberti,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
69,Phytoplankton,Cirripedia,Andrade (pers. comm.),
70,Detritus,Copepoda,Kleppel (1993),https://www.int-res.com/articles/meps/99/m099p183.pdf
71,Phytoplankton,Copepoda,Kleppel (1993),https://www.int-res.com/articles/meps/99/m099p183.pdf
72,Zooplankton,Copepoda,Kleppel (1993),https://www.int-res.com/articles/meps/99/m099p183.pdf
73,Nanoflagellates,Copepoda (nauplius),Böttjer et al. (2009),https://link.springer.com/article/10.1007/s00227-009-1353-4
74,Arbacia dufresnii,Cosmasterias lurida,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
75,Bivalvia,Cosmasterias lurida,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
76,Gastropoda,Cosmasterias lurida,Andrade (pers. comm.),
77,Loxechinus albus,Cosmasterias lurida,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
78,Mytilus sp.,Cosmasterias lurida,Andrade (pers. comm.),
79,Pseudechinus magellanicus,Cosmasterias lurida,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
80,Doryteuthis gahi,Cottoperca gobio,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
81,Macruronus magellanicus,Cottoperca gobio,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
82,Grimothea gregaria,Cottoperca gobio,Vinuesa & Varisco (2007),https://www.scielo.cl/scielo.php?pid=S0717-71782007000200003&script=sci_arttext&tlng=pt
83,Patagonotothen tessellata,Cottoperca gobio,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
84,Peltarion spinulosum,Cottoperca gobio,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
85,Sprattus fuegensis,Cottoperca gobio,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
86,Brown algae,Crepipatella dilatata,C. Andrade (pers. comm.),
87,Phytoplankton,Crustacea,C. Andrade (pers. comm.),
88,Zooplankton,Crustacea,C. Andrade (pers. comm.),
89,Phytoplankton,Darina solenoides,López et al. (2022),https://bioone.org/journals/malacologia/volume-64/issue-2/040.064.0203/Reproduction-and-Recruitment-of-the-Intertidal-Clam-iDarina-solenoides-i/10.4002/040.064.0203.short
90,Doryteuthis gahi,Dissostichus eleginoides,Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
91,Genypterus blacodes,Dissostichus eleginoides,Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
92,Lithodes santolla,Dissostichus eleginoides,Murillo et al. (2008),https://www.scielo.cl/scielo.php?pid=S0717-65382008000100011&script=sci_arttext&tlng=pt
93,Macruronus magellanicus,Dissostichus eleginoides,Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
94,Salilota australis,Dissostichus eleginoides,Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
95,Sprattus fuegensis,Dissostichus eleginoides,Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
96,Benthic decapoda,Doryteuthis gahi,Almonacid (pers. comm),
97,Sprattus fuegensis,Doryteuthis gahi,Almonacid (pers. comm),
98,Acanthocyclus albatrossis,Eleginops maclovinus,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
99,Amphipoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
100,Benthic decapoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
101,Brachiopoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
102,Cephalopoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
103,Copepoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
104,Cyanobacteria,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
105,Detritus,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
106,Exosphaeroma gigas,Eleginops maclovinus,Andrade (pers. comm.),
107,Foraminifera,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
108,Green algae,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
109,Halicarcinus planatus,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
110,Isopoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
111,Ostracoda,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
112,Patagonotothen cornucola,Eleginops maclovinus,Martin & Bastida (2008),https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2008000100001
113,Polychaeta,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
114,Red algae,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
115,Sediment,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
116,Tanaidae,Eleginops maclovinus,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
117,Zooplankton,Eleginops maclovinus,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
118,Benthic decapoda,Enteroctopus megalocyathus,Sepúlveda (pers. comm),
119,Bivalvia,Enteroctopus megalocyathus,Sepúlveda (pers. comm),
120,Phytoplankton,Euphausia lucens,Stuart (1986),https://www.int-res.com/articles/meps/30/m030p117.pdf
121,Phytoplankton,Euphausia vallentini,Sánchez et al. (2011),https://academic.oup.com/plankt/article/33/8/1212/1441310?login=false
122,Plankton diatom,Euphausia vallentini,Sánchez et al. (2011),https://academic.oup.com/plankt/article/33/8/1212/1441310?login=false
123,Bryozoa,Eurypodius latreillei,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
124,Foraminifera,Eurypodius latreillei,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
125,Halicarcinus planatus,Eurypodius latreillei,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
126,Isopoda,Eurypodius latreillei,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
127,Pagurus sp.,Eurypodius latreillei,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
128,Detritus,Exosphaeroma gigas,Andrade (pers. comm.),
129,Brown algae,Fissurella oriens,Andrade (pers. comm.),
130,Brown algae,Fissurella radiosa,Andrade (pers. comm.),
131,Copepoda,Foraminifera,Hayward et al. (2021),https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf
132,Phytodetritus,Foraminifera,Hayward et al. (2021),https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf
133,Phytoplankton,Foraminifera,Hayward et al. (2021),https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf
134,Phytoplankton,Gaimardia trapesina,Adami & Gordillo (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/902
135,Detritus,Gammaridae,Felten et al. (2008),http://srv01.lin.irk.ru/copp/rus/files/95_Felten_2008_4_Quantification%20of%20diet%20variability%20in%20a%20stream%20amphipod.pdf
136,Phytoplankton,Gammaridae,Felten et al. (2008),http://srv01.lin.irk.ru/copp/rus/files/95_Felten_2008_4_Quantification%20of%20diet%20variability%20in%20a%20stream%20amphipod.pdf
137,Zooplankton,Gammaridae,Felten et al. (2008),http://srv01.lin.irk.ru/copp/rus/files/95_Felten_2008_4_Quantification%20of%20diet%20variability%20in%20a%20stream%20amphipod.pdf
138,Phytoplankton,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
139,Amphipoda,Genypterus blacodes,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
140,Benthic decapoda,Genypterus blacodes,Andrade (pers. comm.),
141,Merluccius sp.,Genypterus blacodes,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
142,Odontesthes sp.,Genypterus blacodes,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
143,Patagonotothen sp.,Genypterus blacodes,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
144,Sprattus fuegensis,Genypterus blacodes,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
145,Detritus,Halicarcinus planatus,C. Andrade (pers. comm.),
146,Amphipoda,Harpagifer bispinis,Hüne & Vega (2016),https://link.springer.com/article/10.1007/s00300-015-1726-8
147,Exosphaeroma gigas,Harpagifer bispinis,Hüne & Vega (2016),https://link.springer.com/article/10.1007/s00300-015-1726-8
148,Isopoda,Harpagifer bispinis,Andrade (pers. comm.),
149,Polychaeta,Harpagifer bispinis,Hüne & Rivera (2010),https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2010000200004
150,Tanaidae,Harpagifer bispinis,Hüne & Vega (2016),https://link.springer.com/article/10.1007/s00300-015-1726-8
151,Detritus,Hydrozoa,Aldea (pers. comm.),
152,Phytoplankton,Hydrozoa,Aldea (pers. comm.),
153,Zooplankton,Hydrozoa,Aldea (pers. comm.),
154,Amphipoda,Illex argentinus,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
155,Copepoda,Illex argentinus,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
156,Doryteuthis gahi,Illex argentinus,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
157,Euphausia lucens,Illex argentinus,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
158,Brown algae,Isopoda,Andrade (pers. comm.),
159,Detritus,Isopoda,Andrade (pers. comm.),
160,Phytodetritus,Isopoda,Andrade (pers. comm.),
161,Exosphaeroma gigas,Labidiaster radiosus,Andrade (pers. comm.),
162,Eleginops maclovinus,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
163,Enteroctopus megalocyathus,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
164,Genypterus blacodes,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
165,Illex argentinus,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
166,Macruronus magellanicus,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
167,Myxine australis,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
168,Patagonotothen tessellata,Lagenorhynchus australis,Viddi & Lescrauwaet (2005),https://www.vliz.be/imisdocs/publications/ocrd/102931.pdf
169,Salilota australis,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
170,Salp,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
171,Zoarcidae,Lagenorhynchus australis,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
172,Bivalvia,Larus dominicanus,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348
173,Gastropoda,Larus dominicanus,Hockey (1988),https://doi.org/10.1007/BF00379614
174,Mytilus sp.,Larus dominicanus,Andrade (pers. comm.),
175,Bassanago sp.,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/67
176,Bivalvia,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/64
177,Brown algae,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/56
178,Bryozoa,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/58
179,Cephalopoda,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/66
180,Detritus,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69
181,Foraminifera,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60
182,Gastropoda,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65
183,Hydrozoa,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57
184,Lithodes santolla,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63
185,Polychaeta,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61
186,Porifera,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59
187,Pseudechinus magellanicus,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62
188,Red algae,Lithodes santolla,Andrade et al. (2022),
189,Sediment,Lithodes santolla,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68
190,Amphipoda,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556
191,Benthic decapoda,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556
192,Bivalvia,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/557
193,Brown algae,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/558
194,Foraminifera,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
195,Green algae,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
196,Hydrozoa,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/560
197,Nacella deaurata,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
198,Polychaeta,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
199,Polyplacophora,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
200,Porifera,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
