ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Reference,Reference_link
21,Phytoplankton,Phytoplankton,Aulacomya atra,Bivalvia,Montero et al. (2021),https://www.frontiersin.org/articles/10.3389/fmars.2021.612406/full
22,Zooplankton,Zooplankton,Aulacomya atra,Bivalvia,Montero et al. (2021),https://www.frontiersin.org/articles/10.3389/fmars.2021.612406/full
23,Phytoplankton,Phytoplankton,Austrochlamys natans,Bivalvia,Gallardo et al. (2024),https://onlinelibrary.wiley.com/doi/full/10.1155/2024/6685325
24,Isopoda,Isopoda,Austrolycus depressiceps,Teleostei,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
25,Patagonotothen cornucola,Teleostei,Austrolycus depressiceps,Teleostei,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
26,Polychaeta,Polychaeta,Austrolycus depressiceps,Teleostei,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
27,Bivalvia (larvae),Bivalvia,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
28,Calanoid (copepodite),Copepoda,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
29,Copepoda (egg),Copepoda,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
30,Copepoda (nauplius),Copepoda,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
31,Detritus,"Non-living
",Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
32,Ostracoda,Ostracoda,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
33,Plankton diatom,Bacillariophyceae,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
34,Salp,Thaliacea,Bathylagichthys parini (larvae),Teleostei,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
35,Mytilus sp.,Bivalvia,Benthic decapoda,Decapoda,Andrade (pers. comm.),
36,Phytoplankton,Phytoplankton,Bivalvia,Bivalvia,Arapov et al. (2010),https://ribarstvo.agr.hr/articles/5795_BIVALVE_FEEDING_HOW_AND_WHAT_THEY_EAT__en.pdf
37,Benthic diatom,Bacillariophyceae,Bivalvia (larvae),Bivalvia,Arapov et al. (2010),https://ribarstvo.agr.hr/articles/5795_BIVALVE_FEEDING_HOW_AND_WHAT_THEY_EAT__en.pdf
38,Plankton diatom,Bacillariophyceae,Bivalvia (larvae),Bivalvia,Farías et al. (2003),https://www.sciencedirect.com/science/article/pii/S0044848603002722
39,Phytoplankton,Phytoplankton,Brachiopoda,Brachiopoda,Peck et al. (1987),https://www.sciencedirect.com/science/article/abs/pii/0022098187901420?via%3Dihub
40,Phytoplankton,Phytoplankton,Bryozoa,Bryozoa,Winston (1981),https://www.cambridge.org/core/journals/series-in-geology-notes-for-short-course/article/abs/feeding-behavior-of-modern-bryozoans/D38156D6C6C0553E2EF87DA56EF05AC8
41,Zooplankton,Zooplankton,Bryozoa,Bryozoa,Winston (1981),https://www.cambridge.org/core/journals/series-in-geology-notes-for-short-course/article/abs/feeding-behavior-of-modern-bryozoans/D38156D6C6C0553E2EF87DA56EF05AC8
42,Exosphaeroma gigas,Isopoda,Bunodactis octoradiata,Hexacorallia,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/386
43,Phytoplankton,Phytoplankton,Calanoid (copepodite),Copepoda,Cañete (pers. comm.),
44,Bivalvia,Bivalvia,Calidris canutus,Aves,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf
45,Bivalvia,Bivalvia,Callorhinchus callorynchus,Chondrostei,Di Giacomo & Perier (1996),https://www.publish.csiro.au/mf/mf9960801
46,Zooplankton,Zooplankton,Campylonotus vagans,Decapoda,Thatje et al. (2004),https://www.sciencedirect.com/science/article/pii/S0022098103005021?casa_token=teBJHmRgoUoAAAAA:XLM3A_oEKvJ3sW1mYuQ4kkTU-GgKioakdkP34Pf_SE9cXTIR7RFCMIwNbATLhbKFGijc4n5P4A
47,Benthic decapoda,Decapoda,Cephalopoda,Cephalopoda,Sepúlveda (pers. comm),
48,Bivalvia,Bivalvia,Cephalopoda,Cephalopoda,Sepúlveda (pers. comm),
49,Benthic decapoda,Decapoda,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-16
50,Doryteuthis gahi,Cephalopoda,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-12
51,Eleginops maclovinus,"Teleostei
",Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-7
52,Enteroctopus megalocyathus,Cephalopoda,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-13
53,Halicarcinus planatus,Decapoda,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-15
54,Illex argentinus,Cephalopoda,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-11
55,Macruronus magellanicus,Teleostei,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-10
56,Odontesthes sp.,Teleostei ,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-8
57,Patagonotothen sp.,Teleostei,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-5
58,Sprattus fuegensis,Teleostei,Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-9
59,Zoarcidae,"Teleostei
",Cephalorhynchus commersonii commersonii,Mammalia,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-6
60,Patagonotothen cornucola,Teleostei,Champsocephalus esox,Teleostei,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
61,Patagonotothen sima,Teleostei,Champsocephalus esox,"Teleostei
",Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
62,Patagonotothen tessellata,Teleostei,Champsocephalus esox,"Teleostei
",Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
63,Detritus,"Non-living
",Chironomidae,Insecta,Galizzi et al (2012),https://www.scielo.br/j/isz/a/bDrCDYjPB5jgPmsKhxq5FQp/#
64,Plankton diatom,Bacillariophyceae,Chironomidae,Insecta,Galizzi et al (2012),https://www.scielo.br/j/isz/a/bDrCDYjPB5jgPmsKhxq5FQp/#
65,Brown algae,Macroalgae,Chloephaga hybrida,Aves,Venegas (1985),"Venegas, C. 1985-1986. Prospección aérea de gansos (Chloephaga) en la estepa central de Magallanes. Anales del Instituto de la Patagonia 16: 67˗73."
66,Amphipoda,Amphipoda,Cilus gilberti,Teleostei,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
67,Polychaeta,Polychaeta,Cilus gilberti,Teleostei,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
68,Green algae,Macroalgae,Cilus gilberti,Teleostei,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
69,Phytoplankton,Phytoplankton,Cirripedia,Scalpellomorpha,Andrade (pers. comm.),
70,Detritus,"Non-living
",Copepoda,Copepoda,Kleppel (1993),https://www.int-res.com/articles/meps/99/m099p183.pdf
71,Phytoplankton,Phytoplankton,Copepoda,Copepoda,Kleppel (1993),https://www.int-res.com/articles/meps/99/m099p183.pdf
72,Zooplankton,Zooplankton,Copepoda,Copepoda,Kleppel (1993),https://www.int-res.com/articles/meps/99/m099p183.pdf
73,Nanoflagellates,Nanoflagellates,Copepoda (nauplius),Copepoda,Böttjer et al. (2009),https://link.springer.com/article/10.1007/s00227-009-1353-4
74,Arbacia dufresnii,Echinoidea,Cosmasterias lurida,Asteroidea,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
75,Bivalvia,Bivalvia,Cosmasterias lurida,Asteroidea,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
76,Gastropoda,Gastropoda,Cosmasterias lurida,Asteroidea,Andrade (pers. comm.),
77,Loxechinus albus,Echinoidea,Cosmasterias lurida,Asteroidea,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
78,Mytilus sp.,Bivalvia,Cosmasterias lurida,Asteroidea,Andrade (pers. comm.),
79,Pseudechinus magellanicus,Echinoidea,Cosmasterias lurida,Asteroidea,Garrido et al. (2021),https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.636208/full
80,Doryteuthis gahi,Cephalopoda,Cottoperca gobio,Teleostei,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
81,Macruronus magellanicus,Teleostei,Cottoperca gobio,Teleostei,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
82,Grimothea gregaria,Decapoda,Cottoperca gobio,Teleostei,Vinuesa & Varisco (2007),https://www.scielo.cl/scielo.php?pid=S0717-71782007000200003&script=sci_arttext&tlng=pt
83,Patagonotothen tessellata,Teleostei,Cottoperca gobio,Teleostei,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
84,Peltarion spinulosum,Decapoda,Cottoperca gobio,Teleostei,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
85,Sprattus fuegensis,Teleostei,Cottoperca gobio,Teleostei,Laptikhovsky & Arkhipkin (2003),https://onlinelibrary.wiley.com/doi/full/10.1046/j.1439-0426.2003.00340.x?casa_token=6dL3l09v8GkAAAAA%3A4Fd89SBAZOIkE2TKrEQxaEERaCADR0kGhkXGR-Bz35FUg2Z12Z3dRPMgT5ckTZ1c__S6NpyqOz9_Q0E
86,Brown algae,Macroalgae,Crepipatella dilatata,Gastropoda,C. Andrade (pers. comm.),
87,Phytoplankton,Phytoplankton,Crustacea,Crustacea,C. Andrade (pers. comm.),
88,Zooplankton,Zooplankton,Crustacea,Crustacea,C. Andrade (pers. comm.),
89,Phytoplankton,Phytoplankton,Darina solenoides,Bivalvia,López et al. (2022),https://bioone.org/journals/malacologia/volume-64/issue-2/040.064.0203/Reproduction-and-Recruitment-of-the-Intertidal-Clam-iDarina-solenoides-i/10.4002/040.064.0203.short
90,Doryteuthis gahi,Cephalopoda,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
91,Genypterus blacodes,Teleostei ,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
92,Lithodes santolla,Decapoda,Dissostichus eleginoides,"Teleostei
",Murillo et al. (2008),https://www.scielo.cl/scielo.php?pid=S0717-65382008000100011&script=sci_arttext&tlng=pt
93,Macruronus magellanicus,Teleostei,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
94,Salilota australis,Teleostei,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
95,Sprattus fuegensis,Teleostei,Dissostichus eleginoides,"Teleostei
",Troccoli et al. (2020),https://link.springer.com/article/10.1007/s00300-020-02730-2
96,Benthic decapoda,Decapoda,Doryteuthis gahi,Cephalopoda,Almonacid (pers. comm),
97,Sprattus fuegensis,Teleostei,Doryteuthis gahi,Cephalopoda,Almonacid (pers. comm),
98,Acanthocyclus albatrossis,Decapoda,Eleginops maclovinus,"Teleostei
",Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
99,Amphipoda,Amphipoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
100,Benthic decapoda,Decapoda,Eleginops maclovinus,Teleostei,Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
101,Brachiopoda,Brachiopoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
102,Cephalopoda,Cephalopoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
103,Copepoda,Copepoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
104,Cyanobacteria,Cyanophyceae,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
105,Detritus,"Non-living
",Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
106,Exosphaeroma gigas,Isopoda,Eleginops maclovinus,"Teleostei
",Andrade (pers. comm.),
107,Foraminifera,Foraminifera,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
108,Green algae,Macroalgae,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
109,Halicarcinus planatus,Decapoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
110,Isopoda,Isopoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
111,Ostracoda,Ostracoda,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
112,Patagonotothen cornucola,Teleostei,Eleginops maclovinus,"Teleostei
",Martin & Bastida (2008),https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2008000100001
113,Polychaeta,Polychaeta,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
114,Red algae,Macroalgae,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
115,Sediment,"Non-living
",Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
116,Tanaidae,Tanaidacea,Eleginops maclovinus,"Teleostei
",Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
117,Zooplankton,Zooplankton,Eleginops maclovinus,"Teleostei
",Guzmán & Campodonico (1973),http://www.bibliotecadigital.umag.cl/handle/20.500.11893/379
118,Benthic decapoda,Decapoda,Enteroctopus megalocyathus,Cephalopoda,Sepúlveda (pers. comm),
119,Bivalvia,Bivalvia,Enteroctopus megalocyathus,Cephalopoda,Sepúlveda (pers. comm),
120,Phytoplankton,Phytoplankton,Euphausia lucens,Euphausiacea,Stuart (1986),https://www.int-res.com/articles/meps/30/m030p117.pdf
121,Phytoplankton,Phytoplankton,Euphausia vallentini,Euphausiacea,Sánchez et al. (2011),https://academic.oup.com/plankt/article/33/8/1212/1441310?login=false
122,Plankton diatom,Bacillariophyceae,Euphausia vallentini,Euphausiacea,Sánchez et al. (2011),https://academic.oup.com/plankt/article/33/8/1212/1441310?login=false
123,Bryozoa,Bryozoa,Eurypodius latreillei,Decapoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
124,Foraminifera,Foraminifera,Eurypodius latreillei,Decapoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
125,Halicarcinus planatus,Decapoda,Eurypodius latreillei,Decapoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
126,Isopoda,Isopoda,Eurypodius latreillei,Decapoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
127,Pagurus sp.,Decapoda,Eurypodius latreillei,Decapoda,Comoglio (1994),https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n2640_Comoglio.pdf
128,Detritus,"Non-living
",Exosphaeroma gigas,Isopoda,Andrade (pers. comm.),
129,Brown algae,Macroalgae,Fissurella oriens,Gastropoda,Andrade (pers. comm.),
130,Brown algae,Macroalgae,Fissurella radiosa,Gastropoda,Andrade (pers. comm.),
131,Copepoda,Copepoda,Foraminifera,Foraminifera,Hayward et al. (2021),https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf
132,Phytodetritus,"Non-living
",Foraminifera,Foraminifera,Hayward et al. (2021),https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf
133,Phytoplankton,Phytoplankton,Foraminifera,Foraminifera,Hayward et al. (2021),https://www.researchgate.net/profile/Bruce-Hayward/publication/351275033_Molecular_and_morphological_taxonomy_of_living_Ammonia_and_related_taxa_Foraminifera_and_their_biogeography/links/60da697592851ca94493fa31/Molecular-and-morphological-taxonomy-of-living-Ammonia-and-related-taxa-Foraminifera-and-their-biogeography.pdf
134,Phytoplankton,Phytoplankton,Gaimardia trapesina,Bivalvia,Adami & Gordillo (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/902
135,Detritus,"Non-living
",Gammaridae,Bivalvia,Felten et al. (2008),http://srv01.lin.irk.ru/copp/rus/files/95_Felten_2008_4_Quantification%20of%20diet%20variability%20in%20a%20stream%20amphipod.pdf
136,Phytoplankton,Phytoplankton,Gammaridae,Bivalvia,Felten et al. (2008),http://srv01.lin.irk.ru/copp/rus/files/95_Felten_2008_4_Quantification%20of%20diet%20variability%20in%20a%20stream%20amphipod.pdf
137,Zooplankton,Zooplankton,Gammaridae,Bivalvia,Felten et al. (2008),http://srv01.lin.irk.ru/copp/rus/files/95_Felten_2008_4_Quantification%20of%20diet%20variability%20in%20a%20stream%20amphipod.pdf
138,Phytoplankton,Phytoplankton,Gastropoda,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
139,Amphipoda,Amphipoda,Genypterus blacodes,Teleostei ,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
140,Benthic decapoda,Decapoda,Genypterus blacodes,Teleostei ,Andrade (pers. comm.),
141,Merluccius sp.,Teleostei,Genypterus blacodes,Teleostei ,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
142,Odontesthes sp.,Teleostei ,Genypterus blacodes,Teleostei ,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
143,Patagonotothen sp.,Teleostei,Genypterus blacodes,Teleostei ,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
144,Sprattus fuegensis,Teleostei,Genypterus blacodes,Teleostei ,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
145,Detritus,"Non-living
",Halicarcinus planatus,Decapoda,C. Andrade (pers. comm.),
146,Amphipoda,Amphipoda,Harpagifer bispinis,Teleostei,Hüne & Vega (2016),https://link.springer.com/article/10.1007/s00300-015-1726-8
147,Exosphaeroma gigas,Isopoda,Harpagifer bispinis,Teleostei,Hüne & Vega (2016),https://link.springer.com/article/10.1007/s00300-015-1726-8
148,Isopoda,Isopoda,Harpagifer bispinis,Teleostei,Andrade (pers. comm.),
149,Polychaeta,Polychaeta,Harpagifer bispinis,Teleostei,Hüne & Rivera (2010),https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2010000200004
150,Tanaidae,Tanaidacea,Harpagifer bispinis,Teleostei,Hüne & Vega (2016),https://link.springer.com/article/10.1007/s00300-015-1726-8
151,Detritus,"Non-living
",Hydrozoa,Hydrozoa,Aldea (pers. comm.),
152,Phytoplankton,Phytoplankton,Hydrozoa,Hydrozoa,Aldea (pers. comm.),
153,Zooplankton,Zooplankton,Hydrozoa,Hydrozoa,Aldea (pers. comm.),
154,Amphipoda,Amphipoda,Illex argentinus,Cephalopoda,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
155,Copepoda,Copepoda,Illex argentinus,Cephalopoda,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
156,Doryteuthis gahi,Cephalopoda,Illex argentinus,Cephalopoda,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
157,Euphausia lucens,Euphausiacea,Illex argentinus,Cephalopoda,Ivanovic (2010),https://aquadocs.org/bitstream/handle/1834/4224/Rev%20Invest%20Desarr%20Pesq%2020%2051-63.pdf?sequence=1&isAllowed=y
158,Brown algae,Macroalgae,Isopoda,Isopoda,Andrade (pers. comm.),
159,Detritus,"Non-living
",Isopoda,Isopoda,Andrade (pers. comm.),
160,Phytodetritus,"Non-living
",Isopoda,Isopoda,Andrade (pers. comm.),
161,Exosphaeroma gigas,Isopoda,Labidiaster radiosus,Asteroidea,Andrade (pers. comm.),
