ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
237,Pagurus sp.,Decapoda,Mustelus mento,Chondrostei,Silva-Garay et al. (2018),"Silva-Garay, L., Pacheco, A. S., & Vélez-Zuazo, X. (2018). First assessment of the diet composition and trophic level of an assemblage of poorly known chondrichthyans off the central coast of Peru. Environmental Biology of Fishes, 101(10), 1525-1536. https://doi.org/10.1007/s10641-018-0797-0"
238,Copepoda,Copepoda,Myctophidae,Teleostei,Hopkins & Gartner (1992),"Hopkins, T. L., & Gartner, J. V. (1992). Resource-partitioning and predation impact of a low-latitude myctophid community. Marine Biology, 114(2), 185-197. https://doi.org/10.1007/BF00349518"
239,Phytoplankton,Phytoplankton,Mytilus sp.,Bivalvia,Mutschke et al. (1998),"Mutschke, E., Ríos Cardoza, C., Montiel, A., & others. (1998). Situación actual de la macrofauna presente en el intermareal de bloques y cantos de Bahía Laredo, Estrecho de Magallanes. Anales del Instituto de la Patagonia, 26: 5-29."
240,Zooplankton,Zooplankton,Mytilus sp.,Bivalvia,Mutschke et al. (1998),"Mutschke, E., Ríos Cardoza, C., Montiel, A., & others. (1998). Situación actual de la macrofauna presente en el intermareal de bloques y cantos de Bahía Laredo, Estrecho de Magallanes. Anales del Instituto de la Patagonia, 26: 5-29."
241,Detritus,"Non-living
",Myxine australis,Teleostei,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Myxine
242,Amphipoda,Amphipoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
243,Benthic diatom,Bacillariophyceae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
244,Bivalvia,Bivalvia,Nacella deaurata,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
245,Brown algae,Macroalgae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
246,Chironomidae,Insecta,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
247,Cirripedia,Scalpellomorpha,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
248,Cyanobacteria,Cyanophyceae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
249,Detritus,"Non-living
",Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
250,Foraminifera,Foraminifera,Nacella deaurata,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
251,Gastropoda,Gastropoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
252,Green algae,Macroalgae,Nacella deaurata,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
253,Margarella violacea,Gastropoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
