Reference,Full reference,,,,,,,,,,,,,,,,,,,,,,,,
Brickle2003,"Brickle, P., Laptikhovsky, V., Pompert, J., & Bishop, A. (2003). Ontogenetic changes in the feeding habits and dietary overlap between three abundant rajid species on the Falkland Islands’ shelf. Journal of the Marine Biological Association of the United Kingdom, 83(5), 1119–1125. https://doi.org/10.1017/S0025315403008373h",,,,,,,,,,,,,,,,,,,,,,,,
Brose2005,"Brose, U., Cushing, L., Berlow, E. L., Jonsson, T., Banasek-Richter, C., Bersier, L.-F., … Martinez, N. D. (2005). BODY SIZES OF CONSUMERS AND THEIR RESOURCES. Ecology, 86(9), 2545–2545. https://doi.org/10.1890/05-0379",,,,,,,,,,,,,,,,,,,,,,,,
Brueggeman1998,"Brueggeman, P., Wu, P. N., Alexander, S., Cziko, P., Robbins, R., & Stokes, M. D. (1998) UNDERWATER FIELD GUIDE TO ROSS ISLAND & MCMURDO SOUND , ANTARCTICA.",,,,,,,,,,,,,,,,,,,,,,,,
Buren2004,"Buren, A. D. (2004). Dieta de la raya picuda, Dipturus chilensis, en aguas del norte y centro de Patagonia durante el período 2000 — 2001. Tesis, (May), 69. https://doi.org/10.13140/RG.2.1.5085.7129",,,,,,,,,,,,,,,,,,,,,,,,
Camus2013,"Camus, P. A., Arancibia, P. A., & Ávila-Thieme, I. (2013). A trophic characterization of intertidal consumers on Chilean rocky shores. Revista de Biología Marina y Oceanografía, 48(3), 431–450. https://doi.org/10.4067/s0718-19572013000300003",,,,,,,,,,,,,,,,,,,,,,,,
Carballo2008,"Carballo, M. C. (2008). ROL DE LOS PEJERREYES ODONTESTHES SMITTI Y O. NIGRICANS (PISCES: ATHERINOPSIDAE) COMO HOSPEDADORES DE HELMINTOS EN LOS GOLFOS NORPATAGÓNICOS, CHUBUT, ARGENTINA. Universidad Nacional de La Plata.",,,,,,,,,,,,,,,,,,,,,,,,
Castilla1985,"Castilla J.C. (1985) Food Webs and Functional Aspects of the Kelp, Macrocystis pyrifera, Community in the Beagle Channel, Chile. In: Siegfried W.R., Condy P.R., Laws R.M. (eds) Antarctic Nutrient Cycles and Food Webs. Springer, Berlin, Heidelberg",,,,,,,,,,,,,,,,,,,,,,,,
Cohen1990,"Cohen, J. E., Briand, F., Newman, C. M., & Palka, Z. J. (1990). Community Food Webs. Data and Theory. Biomathematics, vol. 20. (Vol. 20). https://doi.org/10.1007/978-3-642-83784-5",,,,,,,,,,,,,,,,,,,,,,,,
Comoglio1994,"Comoglio, L. I. (1994). La nutrición de los crustáceos decápodos en el Canal Beagle con especial énfasis en la centolla (Lithodes santolla) y el centollón (Paralomis granulosa), y la función trófica de los mismos en el ecosistema.",,,,,,,,,,,,,,,,,,,,,,,,
Comoglio1999,"Comoglio, L. I. L., & Amin, O. A. O. (1999). Feeding habits of the false southern king crab Paralomis granulosa (Lithodidae) in the Beagle Channel, Tierra del Fuego, Argentina. Scientia Marina, 63(1), 361–366. https://doi.org/10.3989/scimar.1999.63s1361",,,,,,,,,,,,,,,,,,,,,,,,
Copeland1974,"J Copeland, K. R. Tenore, D. B. Horton, Oligohaline regime. In: Coastal Ecological Systems of the United States, H. T. Odum, B. J. Copeland, E. A. McMahan, Eds. (Conservation Foundation, Washington, DC, 1974) 2:315-357, from p. 318.",,,,,,,,,,,,,,,,,,,,,,,,
Cordo2004,"Cordo, H. D. (2004). ABADEJO ( Genypterus blacodes ). Caracterización biológica y estado del CARACTERIZACIÓN BIOLÓGICA Y ESTADO DEL RECURSO *. El Mar Argentino y Sus Recursos Pesqueros, 4, 237–253.",,,,,,,,,,,,,,,,,,,,,,,,
Curelovich2016,"Curelovich, J., Lovrich, G. A., & Calcagno, J. A. (2016). The role of the predator Trophon geversianus in an intertidal population of Mytilus chilensis in a rocky shore of the Beagle Channel, Tierra del Fuego, Argentina. Marine Biology Research, 12(10), 1053–1063. https://doi.org/10.1080/17451000.2016.1228976",,,,,,,,,,,,,,,,,,,,,,,,
Daniels1982,"Daniels, R.A. 1982. Feeding ecology of some fishes of the Antarctic Peninsula",,,,,,,,,,,,,,,,,,,,,,,,
Dauby2001,"Dauby, P., Scailteur, Y., & De Broyer, C. (2001). Trophic diversity within the Eastern Weddell Sea amphipod community. Hydrobiologia, 443(1), 69–86. https://doi.org/10.1023/A:1017596120422",,,,,,,,,,,,,,,,,,,,,,,,
Diaz2016,"Díaz, C. A. (2016). Trophic structures and flows in marine benthic communities of the Magellan Region, Southern Chile, 1–104.",,,,,,,,,,,,,,,,,,,,,,,,
Duarte1981,"Duarte, W. E., & Moreno, C. A. (1981). The specialized diet of Harpagifer bispinis. Hydrobiologia, 80, 241–250.",,,,,,,,,,,,,,,,,,,,,,,,
Duhamel1985,"Duhamel G, Hureau JC (1985) The Role of Zooplankton in the Diets of Certain Sub-Antarctic Marine Fish",,,,,,,,,,,,,,,,,,,,,,,,
Dunne2016,"Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific Reports, 6(January), 1–9. https://doi.org/10.1038/srep21179",,,,,,,,,,,,,,,,,,,,,,,,
Filgueira2011,"Filgueira, R., & Castro, B. G. (2011). Study of the trophic web of San Simón Bay (Ría de Vigo) by using stable isotopes. Continental Shelf Research, 31(5), 476–487. https://doi.org/10.1016/j.csr.2010.10.010",,,,,,,,,,,,,,,,,,,,,,,,
Fischer2019,"FISCHER, L.; COVATTI ALE, M.; DELPIANI, G.; DELI ANTONI, M.Y.; DELPIANI, S.M.; DÍAZ DE ASTARLOA, J.M. (2019) Ecología trófica del nototénido Patagonotothen ramsayi (Regan, 1913) en el Área Marina Protegida Namuncurá - Banco Burdwood. COLACMAR 2019",,,,,,,,,,,,,,,,,,,,,,,,
Froneman1998,"Froneman, P. W., Pakhomov, E. A., Perissinotto, R., & Meaton, V. (1998). Feeding and predation impact of two chaetognath species, Eukrohnia hamata and Sagitta gazellae, in the vicinity of Marion Island (southern ocean). Marine Biology, 131(1), 95–101. https://doi.org/10.1007/s002270050300",,,,,,,,,,,,,,,,,,,,,,,,
Garcia2015,"García, M. D. (2015). Dinámica espacial y temporal del micro y mesozooplancton en Caleta Potter (Isla 25 de Mayo, Shetland del sur, Antártida) y su relación con el derretimiendo glaciario.",,,,,,,,,,,,,,,,,,,,,,,,
Gerlach1976,"Gerlach, S. A., Ekstrøm, D. K., & Eckardt, P. B. (1976). Filter feeding in the hermit crab - Pagurus bernhardus. Oecologia, 24(3), 257–264. https://doi.org/10.1007/BF00345477",,,,,,,,,,,,,,,,,,,,,,,,
Gil2008,"Gil, D. G., & Zaixso, H. E. (2008). Feeding ecology of the subantarctic sea star Anasterias minuta within tide pools in Patagonia, Argentina. Revista de Biologia Tropical, 56(SUPPL. 3), 311–328.",,,,,,,,,,,,,,,,,,,,,,,,
Gil2015,"Gil, D. G. (2015). Biología y ecología del erizo de mar Pseudechinus magellanicus (Echinoidea: Temnopleuridae) en Patagonia Central. Universidad Nacional de La Plata, Facultad de Ciencias Naturales y Museo.",,,,,,,,,,,,,,,,,,,,,,,,
Gili1998,"Gili, J.-M., Alvà, V., Coma, R., Orejas, C., Pagès, F., Ribes, M., … Hughes, R. (1998). The impact of small benthic passive suspension feeders in shallow marine ecosystems: the hydroids as an example. Zool. Verh. Leiden, 323, 99–105. Retrieved from http://www.repository.naturalis.nl/document/149037",,,,,,,,,,,,,,,,,,,,,,,,
Gili2001,"Gili, J. M., Coma, R., Orejas, C., López-González, P. J., & Zabala, M. (2001). Are antarctic suspension-feeding communities different from those elsewhere in the world? Polar Biology, 24(7), 473–485. https://doi.org/10.1007/s003000100257",,,,,,,,,,,,,,,,,,,,,,,,
Glynn1965,"Glynn, P. W. (1965). Community composition, structure, and interrelationships in the marine intertidal Endocladia muricata - Balanus glandula association in Monterey Bay, California. Beaufortia, 12(12), 1–198. Retrieved from http://www.narcis.nl/publication/RecordID/oai:naturalis.nl:504945",,,,,,,,,,,,,,,,,,,,,,,,
Godoy1989,"Godoy, C., & Moreno, C. A. (1989). Indirect effects of human exclusion from the rocky intertidal in Southern Chile: A case of cross-linkage between herbivores. Oikos, 54(1), 101–106. https://doi.org/10.2307/3565902",,,,,,,,,,,,,,,,,,,,,,,,
Gonzales2008,"González, S. J., Caceres, C. W., & Ojeda, P. (2008). Feeding and nutritional ecology of the edible sea urchin Loxechinus albus in the northern Chilean coast. Revista Chilena de Historia Natural, 81(4), 575–584. https://doi.org/10.4067/S0716-078X2008000400010",,,,,,,,,,,,,,,,,,,,,,,,
Guzman1973,"Guzmán M., L., & Campodónico G., I. (1973). Algunos aspectos de la biología de Eleginops Maclovinus (Cuv. y Val.) 1830, con especial referencia a su morfometría, caracteres merísticos y alimentación. Anales Del Instituto de La Patagonia, IV.",,,,,,,,,,,,,,,,,,,,,,,,
Ha2019,"Ha, S. Y., Ahn, I. Y., Moon, H. W., Choi, B., & Shin, K. H. (2019). Tight trophic association between benthic diatom blooms and shallow-water megabenthic communities in a rapidly deglaciated Antarctic fjord. Estuarine, Coastal and Shelf Science, 218(August 2018), 258–267. https://doi.org/10.1016/j.ecss.2018.12.020",,,,,,,,,,,,,,,,,,,,,,,,
Häussermann2009,"Häussermann, V. and G. Försterra 2009 Marine benthic fauna of Chilean Patagonia. Santiago, Nature in Focus. 1000 p.",,,,,,,,,,,,,,,,,,,,,,,,
Hentschel2008,"B.T. Hentschel, J. Shimeta. (2008) Suspension Feeders in Encyclopedia of Ecology. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/suspension-feeding",,,,,,,,,,,,,,,,,,,,,,,,
Hopkins1987,"Hopkins, T. L. (1987). Midwater food web in McMurdo Sound, Ross Sea, Antarctica. Mar. Biol., 96, 93–106.",,,,,,,,,,,,,,,,,,,,,,,,
Hune2010,"Hüne, M., & Rivera, G. (2010). Contribución De Poliquetos (Annelida: Polychaeta) En La Dieta De Tres Especies De Nototénidos (Perciformes: Notothenioidei) En La Región De Magallanes. Anales Del Instituto de La Patagonia, 38(2), 39–46. https://doi.org/10.4067/s0718-686x2010000200004",,,,,,,,,,,,,,,,,,,,,,,,
Hune2016,"Hüne, M., & Vega, R. (2016). Feeding habits in two sympatric species of Notothenioidei, Patagonotothen cornucola and Harpagifer bispinis, in the Chilean Patagonian channels and fjords. Polar Biology, 39(12), 2253–2262. https://doi.org/10.1007/s00300-016-1892-3",,,,,,,,,,,,,,,,,,,,,,,,
Isla1993,"Isla, M. S. (1993) Feeding habits of Champsocephalus esox (Pisces, Channichthyidae) from Beagle Channel, Argentina. 85 - 92.",,,,,,,,,,,,,,,,,,,,,,,,
Jorgensen1998,"Jørgensen, J. M., Lomholt, J. P., Weber, R. E., & Malte, H. (1998). The Biology of Hagfishes. The Biology of Hagfishes. https://doi.org/10.1007/978-94-011-5834-3",,,,,,,,,,,,,,,,,,,,,,,,
Jumars1979,"Jumars, P., & Fauchald, K. (1979). The Diet Of Worms : A Study Of Polychaete Feeding Guilds. Oceanography and Marine Biology - An Annual Review, 17, 193–284.",,,,,,,,,,,,,,,,,,,,,,,,
Koen2001,"Koen Alonso, M., Crespo, E. A., García, N. A., Pedraza, S. N., Mariotti, P. A., Berón Vera, B., & Mora, N. J. (2001). Food habits of Dipturus chilensis (Pisces: Rajidae) off Patagonia, Argentina. ICES Journal of Marine Science, 58(1), 288–297. https://doi.org/10.1006/jmsc.2000.1010",,,,,,,,,,,,,,,,,,,,,,,,
Kortsch2015,"Kortsch, S., Primicerio, R., Fossheim, M., Dolgov, A. V, Aschan, M., & Kortsch, S. (2015). Climate change alters the structure of arctic marine food webs due to poleward shifts of boreal generalists. The Royal Society Publishing, 282(1814), 20151546. https://doi.org/10.5061/dryad.73r6j",,,,,,,,,,,,,,,,,,,,,,,,
Kortsch2018,"Kortsch, S., Primicerio, R., Aschan, M., Lind, S., Dolgov, A. V., & Planque, B. (2018). Food-web structure varies along environmental gradients in a high-latitude marine ecosystem. Ecography, 1–14. https://doi.org/10.1111/ecog.03443",,,,,,,,,,,,,,,,,,,,,,,,
Lang1948,"Lang, K. (1948). Contribution to the ecology of Priapulus caudatus. Lam Ark Zoo, 41A(5), 1-13",,,,,,,,,,,,,,,,,,,,,,,,
Laptikhovsky2001,"Laptikhovsky, V. V., Arkhipkin, A. I., & Henderson, A. C. (2001). Feeding habits and dietary overlap in spiny dogfish Squalus acanthias (Squalidae) and narrowmouth catshark Schroederichthys bivius (Scyliorhinidae). Journal of the Marine Biological Association of the United Kingdom, 81(6), 1015–1018. https://doi.org/10.1017/S0025315401004994",,,,,,,,,,,,,,,,,,,,,,,,
Laptikhovsky2003,"Laptikhovsky, V. V., & Arkhipkin, A. I. (2003). An impact of seasonal squid migrations and fishing on the feeding spectra of subantarctic notothenioids Patagonotothen ramsayi and Cottoperca gobio around the Falkland Islands. Journal of Applied Ichthyology, 19(1), 35–39. https://doi.org/10.1046/j.1439-0426.2003.00340.x",,,,,,,,,,,,,,,,,,,,,,,,
Laptikhovsky2004,"Laptikhovsky, V. V. (2004). A comparative study of diet in three sympatric populations of Patagonotothen species ( Pisces : Nototheniidae ), 202–205. https://doi.org/10.1007/s00300-003-0573-1",,,,,,,,,,,,,,,,,,,,,,,,
Laptikhovsky2010,"Laptikhovsky, V., Arkhipkin, A., & Brickle, P. (2010). Squid as a resource shared by fish and humans on the Falkland Islands’ shelf. Fisheries Research, 106(2), 151–155. https://doi.org/10.1016/j.fishres.2010.05.002",,,,,,,,,,,,,,,,,,,,,,,,
Laptikhovsky2015,"Laptikhovsky, V., Brickle, P., Söffker, M., Davidson, D., Roux, M. J., Rexer-Huber, K., … Parker, G. (2015). Life history and population characteristics of the Antarctic starfish, Anasterias antarctica Lütken, 1856 (Asteroidea: Forcipulatida: Asteriidae) around the Falkland Islands. Polar Biology, 38(4), 463–474. https://doi.org/10.1007/s00300-014-1608-5",,,,,,,,,,,,,,,,,,,,,,,,
Lattuca2015,"Lattuca, M. E., Lozano, I. E., Brown, D. R., Renzi, M., & Luizon, C. A. (2015). Natural growth, otolith shape and diet analyses of Odontesthes nigricans Richardson (Atherinopsidae) from southern Patagonia. Estuarine, Coastal and Shelf Science, 166(March), 105–114. https://doi.org/10.1016/j.ecss.2015.03.019",,,,,,,,,,,,,,,,,,,,,,,,
Linse1999,"Linse, K. (1999). Abundance and diversity of Mollusca in the Beagle Channel. Scientia Marina, 63(SUPPL.), 391–397. https://doi.org/10.3989/scimar.1999.63s1391",,,,,,,,,,,,,,,,,,,,,,,,
Lloris1991,"Lloris, D., & Rucabado, J. (1991). Ictiofauna Del Canal Beagle (Tierra De Fuego), Aspectos Ecológicos Y Análisis Biogeográfico. Instituto Español de Oceanografia (Vol. 8).",,,,,,,,,,,,,,,,,,,,,,,,
Lovrich2016,"Lovrich, G. A., & Vinuesa, J. H. (2016). BIOLOGÍA DE LAS CENTOLLAS ( ANOMURA : LITHODIDAE ) por. EL MAR ARGENTINO Y SUS RECURSOS PESQUEROS, 6(October), 183–212.",,,,,,,,,,,,,,,,,,,,,,,,
Lucifora2000,"Lucifora, L. O., Valero, J. L., Bremec, C. S., & Lasta, M. L. (2000). Feeding habits and prey selection by the skate Dipturus chilensis (Elasmobranchii: Rajidae) from the south-western Atlantic. Journal of the Marine Biological Association of the United Kingdom, 80(5), 953–954. https://doi.org/10.1017/S002531540000299X",,,,,,,,,,,,,,,,,,,,,,,,
Martin2008,"Martin, J., & Bastida, R. (2008). Contribución de las comunidades bentónicas en la dieta del róbalo (Eleginops maclovinus) en la Ría Deseado (Santa Cruz, Argentina). Latin American Journal of Aquatic Research, 36(1), 1–13. https://doi.org/10.3856/vol36-issue1-fulltext-1",,,,,,,,,,,,,,,,,,,,,,,,
Matallanas1988,"Matallanas, J. (1988). Datos Datos morfológicos y morfométricos del tracto alimentario de peces del Canal de Beagle. Misc. Zool., 12, 237–243.",,,,,,,,,,,,,,,,,,,,,,,,
Matallanas1993,"Matallanas, J., Carrasson, M., & Casadevall, M. (1993). Observations on the feeding habits of the narrow mouthed cat shark Schroederichthys bivius (Chondrichthyes, Scyliorhinidae) in the Beagle Channel. Cybium, 17(December 2016), 55–61. Retrieved from http://cat.inist.fr/?aModele=afficheN&cpsidt=4679084",,,,,,,,,,,,,,,,,,,,,,,,
Mauchline1979,"Mauchline, J. (1979). Studies on Patches of Krill: Euphausia Superba Dana. publisher not identified.",,,,,,,,,,,,,,,,,,,,,,,,
McClintock1994,"McClintock, J. B. (1994). Trophic biology of Antarctic shallow-water echinoderms. Marine Ecology Progress Series, 111(1–2), 191–202. https://doi.org/10.3354/meps111191",,,,,,,,,,,,,,,,,,,,,,,,
Mianzan1996,"Mianzan, H. W., Mari, N., Prenski, B., & Sanchez, F. (1996). Fish predation on neritic ctenophores from the Argentine continental shelf: A neglected food resource? Fisheries Research, 27(1–3), 69–79. https://doi.org/10.1016/0165-7836(95)00459-9",,,,,,,,,,,,,,,,,,,,,,,,
Montecinos2015,"Montecinos Garrido, S. O. (2015). Composición dietaria de Sprattus fuegensis y determinación del nivel trófico mediante isótopos estables de δ 13 C y δ 15 N en la zona sur austral .",,,,,,,,,,,,,,,,,,,,,,,,
Moreno1984,"Moreno, C., & Jara, H. (1984). Ecological studies on fish fauna associated with Macrocystis pyrifera belts in the south of Fueguian Islands, Chile. Marine Ecology Progress Series, 15(October 1984), 99–107. https://doi.org/10.3354/meps015099",,,,,,,,,,,,,,,,,,,,,,,,
Murillo2002,"Murillo, C., & Oyarzún, C. (2002). VARIACION ONTOGENETICA EN LA DIETA DE PATAGONOTOTHEN LONGIPES (STEINDACHNER 1876) (PERCIFORMES: NOTOTHENIIDAE) EN EL FIORDO DE CASTRO, CHILOE. Gayana (Concepción), 66(2), 219–224. https://doi.org/10.4067/s0717-65382002000200018",,,,,,,,,,,,,,,,,,,,,,,,
Neira2014,"Neira, S., Arancibia, H., Barros, M., Castro, L., Cubillos, L., Niklitschek, E., & Alarcón, R. (2014). Rol ecosistémico de sardina Austral e impacto de su explotación en la sustentabilidad de otras especies de interés comercial.",,,,,,,,,,,,,,,,,,,,,,,,
Nyegaard2004,"Nyegaard, M., Arkhipkin, A., & Brickle, P. (2004). Variation in the diet of Genypterus blacodes (Ophidiidae) around the Falkland Islands. Journal of Fish Biology, 65(3), 666–682. https://doi.org/10.1111/j.0022-1112.2004.00476.x",,,,,,,,,,,,,,,,,,,,,,,,
Padovani2012,"Padovani, L. N., Viñas, M. D., Sánchez, F., & Mianzan, H. (2012). Amphipod-supported food web: Themisto gaudichaudii, a key food resource for fishes in the southern Patagonian Shelf. Journal of Sea Research, 67(1), 85–90. https://doi.org/10.1016/j.seares.2011.10.007",,,,,,,,,,,,,,,,,,,,,,,,
Pakhomov1996,"Pakhomov, E. A., & Perissinotto, R. (1996). Trophodynamics of the hyperiid amphipod Themisto gaudichaudi in the South Georgia region during late austral summer. Marine Ecology Progress Series, 134(1–3), 91–100. https://doi.org/10.3354/meps134091",,,,,,,,,,,,,,,,,,,,,,,,
ParedesRuiz2010,"Paredes Ruiz, J., & Muñoz Aro, J. (2010). Variabilidad de las exportaciones del Loxechinus Albus en la Región de Magallanes durante el periodo 2007 – 2009.",,,,,,,,,,,,,,,,,,,,,,,,
Pasotti2015,"Pasotti, F., Saravia, L. A., De Troch, M., Tarantelli, M. S., Sahade, R., & Vanreusel, A. (2015). Benthic trophic interactions in an Antarctic shallow water ecosystem affected by recent glacier retreat. PLoS ONE, 10(11), 1–26. https://doi.org/10.1371/journal.pone.0141742",,,,,,,,,,,,,,,,,,,,,,,,
Penchaszadeh1999,"Penchaszadeh, P., & Lawrence, J. M. (1999). Arbacia dufresnii (Echinodermata: Echinoidea): A carnivore in Argentinian waters. Echinoderm Research, (December), 525–530.",,,,,,,,,,,,,,,,,,,,,,,,
Penchaszadeh2004,"Penchaszadeh, P. E., Bigatti, G., Miloslavich, P., Penchaszadeh, P. E., Bigatti, G., & Miloslavich, P. (2004). Feeding of Pseudechinus magellanicus (Philippi, 1857) (Echinoidea: Temnopleuridae) in the SW Atlantic Coast (Argentina). Ophelia, 58(2), 91–99. https://doi.org/10.1080/00785326.2004.10410216",,,,,,,,,,,,,,,,,,,,,,,,
PerezBarros2010,"Pérez-Barros, P., Romero, M. C., Calcagno, J. A., & Lovrich, G. A. (2010). Similar feeding habits of two morphs of Munida gregaria (Decapoda) evidence the lack of trophic polymorphism. Revista de Biología Marina y Oceanografía, 45(3), 461–470. https://doi.org/10.4067/s0718-19572010000300011",,,,,,,,,,,,,,,,,,,,,,,,
Petersen2003,"Petersen, J. K., Sejr, M. K., & Larsen, J. E. N. (2003). Clearance rates in the Arctic bivalves Hiatella arctica and Mya sp. Polar Biology, 26(5), 334–341. https://doi.org/10.1007/s00300-003-0483-2",,,,,,,,,,,,,,,,,,,,,,,,
Petersen2007,"Petersen, J. K. (2007). Ascidiacean suspension feeding. Journal of Experimental Marine Biology and Ecology, 342(1), 127-137.",,,,,,,,,,,,,,,,,,,,,,,,
Pilling2001,"Pilling, G. M., Purves, M. G., Daw, T. M., Agnew, D. A., & Xavier, J. C. (2001). The stomach contents of Patagonian toothfish around South Georgia (South Atlantic). Journal of Fish Biology, 59(5), 1370–1384. https://doi.org/10.1006/jfbi.2001.1748",,,,,,,,,,,,,,,,,,,,,,,,
Planque2014,"Planque, B., Primicerio, R., Michalsen, K., Aschan, M., Certain, G., Dalpadado, P., … Wiedmann, M. (2014). Who eats whom in the Barents Sea: a food web topology from plankton to whales. Ecology, 95(5), 1430–1430. https://doi.org/10.1890/13-1062.1",,,,,,,,,,,,,,,,,,,,,,,,
Presler1986,"Presler, P. (1986). Necrophagous invertebrates of the Admiralty Bay of King George Island ( South Shetland Islands, Antarctica). Polish Polar Research, 7(1–2), 25–61.",,,,,,,,,,,,,,,,,,,,,,,,
Price1988,"Price, H. J., Boyd, K. R., & Boyd, C. M. (1988). Omnivorous feeding behavior of the Antarctic krill Euphausia superba. Marine Biology, 97(1), 67-77.",,,,,,,,,,,,,,,,,,,,,,,,
Puccinelli2018,"Puccinelli, E., von der Meden, C. E. O., McQuaid, C. D., & Ansorge, I. J. (2018). Biological characteristics of the rafting bivalve Gaimardia trapesina in the Southern Ocean. Marine Biology, 165(10), 172. https://doi.org/10.1007/s00227-018-3430-z",,,,,,,,,,,,,,,,,,,,,,,,
Raymond2011,"Raymond, B., Marshall, M., Nevitt, G., Gillies, C. L., van den Hoff, J., Stark, J. S., … Constable, A. J. (2011). A Southern Ocean dietary database. Ecology, 92(5), 1188. https://doi.org/10.1890/10-1907.1",,,,,,,,,,,,,,,,,,,,,,,,
Riccialdelli2017,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Fernández, D. A. (2017). Trophic interactions and food web structure of a subantarctic marine food web in the Beagle Channel: Bahía Lapataia, Argentina. Polar Biology, 40(4), 807–821. https://doi.org/10.1007/s00300-016-2007-x",,,,,,,,,,,,,,,,,,,,,,,,
Richard1977,"Richard, M. G. (1977). The ecology (including physiological aspects) of selected Antarctic marine invertebrates associated with inshore macrophytes.",,,,,,,,,,,,,,,,,,,,,,,,
RicherdeForges1976,"Richer de Forges, B - 1976 - Etude du crabe des Iles Kerguelen Halicarcinus planatus (Fabricius)",,,,,,,,,,,,,,,,,,,,,,,,
Roman1977,"Roman, M. R. (1977). Feeding of the copepod Acartia tonsa on the diatom Nitzschia closterium and brown algae (Fucus vesiculosus) detritus. Marine Biology, 42(2), 149–155. https://doi.org/10.1007/BF00391565",,,,,,,,,,,,,,,,,,,,,,,,
