Predator,Prey,Reference,Location,Latitude,Longitude,Depth
Lithodes santolla,Margarella violacea,Comoglio1994,,,,
Paralomis granulosa,Margarella violacea,Comoglio1994,,,,
Peltarion spinosulum,Margarella violacea,Comoglio1994,,,,
Eurypodius latreillii,Membranipora isabelleana,Comoglio1994,,,,
Halicarcinus planatus ,Membranipora isabelleana,Comoglio1994,,,,
Lithodes santolla,Membranipora isabelleana,Comoglio1994,,,,
Pagurus comptus,Membranipora isabelleana,Comoglio1994,,,,
Paralomis granulosa,Membranipora isabelleana,Comoglio1994,,,,
Peltarion spinosulum,Membranipora isabelleana,Comoglio1994,,,,
Eurypodius latreillii,Munida gregaria,Comoglio1994,,,,
Lithodes santolla,Munida gregaria,Comoglio1994,,,,
Paralomis granulosa,Munida gregaria,Comoglio1994,,,,
Peltarion spinosulum,Munida gregaria,Comoglio1994,,,,
Eurypodius latreillii,Mytilus edulis chilensis,Comoglio1994,,,,
Lithodes santolla,Mytilus edulis chilensis,Comoglio1994,,,,
Paralomis granulosa,Mytilus edulis chilensis,Comoglio1994,,,,
Peltarion spinosulum,Mytilus edulis chilensis,Comoglio1994,,,,
Pagurus comptus,Ostracoda,Comoglio1994,,,,
Paralomis granulosa,Ostracoda,Comoglio1994,,,,
Eurypodius latreillii,Pagurus comptus,Comoglio1994,,,,
Lithodes santolla,Pagurus comptus,Comoglio1994,,,,
Paralomis granulosa,Pagurus comptus,Comoglio1994,,,,
Halicarcinus planatus ,Phytoplankton,Comoglio1994,,,,
Eurypodius latreillii,Polychaeta,Comoglio1994,,,,
Eurypodius latreillii,Polychaeta,Comoglio1994,,,,
Lithodes santolla,Polychaeta,Comoglio1994,,,,
Pagurus comptus,Polychaeta,Comoglio1994,,,,
Paralomis granulosa,Polychaeta,Comoglio1994,,,,
Peltarion spinosulum,Polychaeta,Comoglio1994,,,,
Halicarcinus planatus ,Polysiphonia sp.,Comoglio1994,,,,
Eurypodius latreillii,Pseudechinus magellanicus,Comoglio1994,,,,
Lithodes santolla,Pseudechinus magellanicus,Comoglio1994,,,,
Pagurus comptus,Pseudechinus magellanicus,Comoglio1994,,,,
Pagurus comptus,Pseudechinus magellanicus,Comoglio1994,,,,
Paralomis granulosa,Pseudechinus magellanicus,Comoglio1994,,,,
Peltarion spinosulum,Pseudechinus magellanicus,Comoglio1994,,,,
Lithodes santolla,Tonicia sp.,Comoglio1994,,,,
Paralomis granulosa,Tonicia sp.,Comoglio1994,,,,
Acanthocyclus albatrossis,Zooplankton,Comoglio1994,,,,
Eurypodius latreillii,Zooplankton,Comoglio1994,,,,
Halicarcinus planatus ,Zooplankton,Comoglio1994,,,,
Lithodes santolla,Zooplankton,Comoglio1994,,,,
Pagurus comptus,Zooplankton,Comoglio1994,,,,
Paralomis granulosa,Zooplankton,Comoglio1994,,,,
Peltarion spinosulum,Zooplankton,Comoglio1994,,,,
Paralomis granulosa,Aulacomya atra,Comoglio1999,,,,
Paralomis granulosa,Bivalvia,Comoglio1999,,,,
Paralomis granulosa,Bryozoa,Comoglio1999,,,,
Paralomis granulosa,Calliostoma nudum,Comoglio1999,,,,
Paralomis granulosa,Crustacea,Comoglio1999,,,,
Paralomis granulosa,Fissurella picta,Comoglio1999,,,,
Paralomis granulosa,Gastropoda,Comoglio1999,,,,
Paralomis granulosa,Hiatella arctica,Comoglio1999,,,,
Paralomis granulosa,Hydrozoa,Comoglio1999,,,,
Paralomis granulosa,Macroalgae,Comoglio1999,,,,
Paralomis granulosa,Margarella violacea,Comoglio1999,,,,
Paralomis granulosa,Membranipora isabelleana,Comoglio1999,,,,
Paralomis granulosa,Mytilus edulis chilensis,Comoglio1999,,,,
Paralomis granulosa,Polychaeta,Comoglio1999,,,,
Paralomis granulosa,Pseudechinus magellanicus,Comoglio1999,,,,
Paralomis granulosa,Zooplankton,Comoglio1999,,,,
Genypterus blacodes,Cottoperca gobio,Cordo2004,,,,
Genypterus blacodes,Macruronus magellanicus,Cordo2004,,,,
Genypterus blacodes,Merluccius hubbsi,Cordo2004,,,,
Genypterus blacodes,Patagonotothen ramsayi,Cordo2004,,,,
Genypterus blacodes,Salilota australis,Cordo2004,,,,
Trophon geversianus,Mytilus edulis chilensis,Curelovich2016,,,,
Harpagifer bispinis,Amphipoda,Daniels1982,,,,
Harpagifer bispinis,Isopoda,Daniels1982,,,,
Harpagifer bispinis,Ostracoda,Daniels1982,,,,
Harpagifer bispinis,Polychaeta,Daniels1982,,,,
Amphipoda,Ostracoda,Dauby2001,,,,
Amphipoda,Aged detritus,Diaz2016,,,,
Exosphaeroma gigas,Aged detritus,Diaz2016,,,,
Halicarcinus planatus ,Aged detritus,Diaz2016,,,,
Pareuthria fuscata,Aged detritus,Diaz2016,,,,
Polychaeta,Aged detritus,Diaz2016,,,,
Anasterias antarctica,Aulacomya atra,Diaz2016,,,,
Anasterias antarctica,Exosphaeroma gigas,Diaz2016,,,,
Austrolycus depressiceps,Exosphaeroma gigas,Diaz2016,,,,
Harpagifer bispinis,Exosphaeroma gigas,Diaz2016,,,,
Aulacomya atra,Fresh detritus,Diaz2016,,,,
Gaimardia trapesina,Fresh detritus,Diaz2016,,,,
Mytilus edulis chilensis,Fresh detritus,Diaz2016,,,,
Perumytilus purpuratus,Fresh detritus,Diaz2016,,,,
Anasterias antarctica,Gaimardia trapesina,Diaz2016,,,,
Anasterias antarctica,Laevilitorina caliginosa,Diaz2016,,,,
Nacella magellanica,Laevilitorina caliginosa,Diaz2016,,,,
Anasterias antarctica,Mytilus edulis chilensis,Diaz2016,,,,
Nacella magellanica,Mytilus edulis chilensis,Diaz2016,,,,
Anasterias antarctica,Nacella deaurata,Diaz2016,,,,
Anasterias antarctica,Nacella magellanica,Diaz2016,,,,
Nacella deaurata,Ostracoda,Diaz2016,,,,
Anasterias antarctica,Pareuthria fuscata,Diaz2016,,,,
Anasterias antarctica,Perumytilus purpuratus,Diaz2016,,,,
Nacella deaurata,Phytoplankton,Diaz2016,,,,
Nacella magellanica,Phytoplankton,Diaz2016,,,,
Nacella magellanica,Phytoplankton,Diaz2016,,,,
Plaxiphora sp.,Phytoplankton,Diaz2016,,,,
Anasterias antarctica,Plaxiphora sp.,Diaz2016,,,,
Nacella deaurata,Zooplankton,Diaz2016,,,,
Nacella magellanica,Zooplankton,Diaz2016,,,,
Merluccius hubbsi,Munida gregaria,Diez2016,,,,
Harpagifer bispinis,Amphipoda,Duarte1981,,,,
Harpagifer bispinis,Isopoda,Duarte1981,,,,
Harpagifer bispinis,Nemertea,Duarte1981,,,,
Harpagifer bispinis,Polychaeta,Duarte1981,,,,
Dissostichus eleginoides,Amphipoda,Duhamel1985,,,,
Dissostichus eleginoides,Cephalopoda,Duhamel1985,,,,
Dissostichus eleginoides,Isopoda,Duhamel1985,,,,
Cumacea,Aged detritus,Dunne2016,,,,
Gammaridea,Aged detritus,Dunne2016,,,,
Glyceridae,Aged detritus,Dunne2016,,,,
Nereididae,Aged detritus,Dunne2016,,,,
Oligochaeta,Aged detritus,Dunne2016,,,,
Pagurus comptus,Aged detritus,Dunne2016,,,,
Polynoidae,Aged detritus,Dunne2016,,,,
Terebellidae,Aged detritus,Dunne2016,,,,
Laevilitorina caliginosa,Cladophora sp.,Dunne2016,,,,
Euphausiacea,Copepoda,Dunne2016,,,,
Gammaridea,Copepoda,Dunne2016,,,,
Hydrozoa,Copepoda,Dunne2016,,,,
Hyperiidea,Copepoda,Dunne2016,,,,
Nemertea,Copepoda,Dunne2016,,,,
Nereididae,Cumacea,Dunne2016,,,,
Ophiuroidea,Cumacea,Dunne2016,,,,
Gammaridea,Desmarestia sp.,Dunne2016,,,,
Laevilitorina caliginosa,Desmarestia sp.,Dunne2016,,,,
Gammaridea,Diatomea,Dunne2016,,,,
Hydrozoa,Diatomea,Dunne2016,,,,
Laevilitorina caliginosa,Diatomea,Dunne2016,,,,
Mytilus edulis chilensis,Diatomea,Dunne2016,,,,
Nereididae,Diatomea,Dunne2016,,,,
Notobalanus flosculus,Diatomea,Dunne2016,,,,
Ophiuroidea,Diatomea,Dunne2016,,,,
Pagurus comptus,Diatomea,Dunne2016,,,,
Polynoidae,Diatomea,Dunne2016,,,,
Polyplacophora,Diatomea,Dunne2016,,,,
Serpulidae,Diatomea,Dunne2016,,,,
Terebellidae,Diatomea,Dunne2016,,,,
Ophiuroidea,Echiura,Dunne2016,,,,
Euphausiacea,Euphausiacea,Dunne2016,,,,
Hydrozoa,Euphausiacea,Dunne2016,,,,
Hyperiidea,Euphausiacea,Dunne2016,,,,
Chthamalus sp.,Fresh detritus,Dunne2016,,,,
Copepoda,Fresh detritus,Dunne2016,,,,
Echiura,Fresh detritus,Dunne2016,,,,
Euphausiacea,Fresh detritus,Dunne2016,,,,
Hiatella arctica,Fresh detritus,Dunne2016,,,,
Hydrozoa,Fresh detritus,Dunne2016,,,,
Laevilitorina caliginosa,Fresh detritus,Dunne2016,,,,
Mytilus edulis chilensis,Fresh detritus,Dunne2016,,,,
Notobalanus flosculus,Fresh detritus,Dunne2016,,,,
Ophiuroidea,Fresh detritus,Dunne2016,,,,
Ostracoda,Fresh detritus,Dunne2016,,,,
Polyplacophora,Fresh detritus,Dunne2016,,,,
Porifera,Fresh detritus,Dunne2016,,,,
Serpulidae,Fresh detritus,Dunne2016,,,,
Siphonaria lessonii,Fresh detritus,Dunne2016,,,,
Terebellidae,Fresh detritus,Dunne2016,,,,
Gammaridea,Gammaridea,Dunne2016,,,,
Glyceridae,Gammaridea,Dunne2016,,,,
Hydrozoa,Gammaridea,Dunne2016,,,,
Nemertea,Gammaridea,Dunne2016,,,,
Nereididae,Gammaridea,Dunne2016,,,,
Ophiuroidea,Gammaridea,Dunne2016,,,,
Polynoidae,Gammaridea,Dunne2016,,,,
Pagurus comptus,Glyceridae,Dunne2016,,,,
Nereididae,Hydrozoa,Dunne2016,,,,
Ophiuroidea,Hydrozoa,Dunne2016,,,,
Pagurus comptus,Hydrozoa,Dunne2016,,,,
Polynoidae,Hydrozoa,Dunne2016,,,,
Laevilitorina caliginosa,Macroalgae,Dunne2016,,,,
Pagurus comptus,Mytilus edulis chilensis,Dunne2016,,,,
Hydrozoa,Nemertea,Dunne2016,,,,
Nemertea,Nemertea,Dunne2016,,,,
Glyceridae,Nereididae,Dunne2016,,,,
Nemertea,Nereididae,Dunne2016,,,,
Nereididae,Nereididae,Dunne2016,,,,
Gammaridea,Oligochaeta,Dunne2016,,,,
Nemertea,Oligochaeta,Dunne2016,,,,
Nereididae,Oligochaeta,Dunne2016,,,,
Euphausiacea,Ostracoda,Dunne2016,,,,
Gammaridea,Ostracoda,Dunne2016,,,,
Hydrozoa,Ostracoda,Dunne2016,,,,
Hyperiidea,Ostracoda,Dunne2016,,,,
Ophiuroidea,Ostracoda,Dunne2016,,,,
Pagurus comptus,Ostracoda,Dunne2016,,,,
Polynoidae,Ostracoda,Dunne2016,,,,
Copepoda,Phytoplankton,Dunne2016,,,,
Euphausiacea,Phytoplankton,Dunne2016,,,,
Gammaridea,Phytoplankton,Dunne2016,,,,
Laevilitorina caliginosa,Phytoplankton,Dunne2016,,,,
Laevilitorina caliginosa,Phytoplankton,Dunne2016,,,,
Mytilus edulis chilensis,Phytoplankton,Dunne2016,,,,
Notobalanus flosculus,Phytoplankton,Dunne2016,,,,
Ophiuroidea,Phytoplankton,Dunne2016,,,,
Ostracoda,Phytoplankton,Dunne2016,,,,
Pagurus comptus,Phytoplankton,Dunne2016,,,,
Polyplacophora,Phytoplankton,Dunne2016,,,,
Serpulidae,Phytoplankton,Dunne2016,,,,
Glyceridae,Polynoidae,Dunne2016,,,,
Glyceridae,Polynoidae,Dunne2016,,,,
Hydrozoa,Polynoidae,Dunne2016,,,,
Nemertea,Polynoidae,Dunne2016,,,,
Ophiuroidea,Polynoidae,Dunne2016,,,,
Polynoidae,Polynoidae,Dunne2016,,,,
Gammaridea,Polysiphonia sp.,Dunne2016,,,,
Laevilitorina caliginosa,Polysiphonia sp.,Dunne2016,,,,
Gammaridea,Porphyra sp.,Dunne2016,,,,
Laevilitorina caliginosa,Porphyra sp.,Dunne2016,,,,
Mytilus edulis chilensis,Serpulidae,Dunne2016,,,,
Nemertea,Terebellidae,Dunne2016,,,,
Polyplacophora,Ulva rigida,Dunne2016,,,,
Gammaridea,Ulva sp.,Dunne2016,,,,
Laevilitorina caliginosa,Ulva sp.,Dunne2016,,,,
Mytilus edulis chilensis,Ulva sp.,Dunne2016,,,,
Nereididae,Ulva sp.,Dunne2016,,,,
Siphonaria lessonii,Ulva sp.,Dunne2016,,,,
Terebellidae,Ulva sp.,Dunne2016,,,,
Euphausiacea,Zooplankton,Dunne2016,,,,
Hydrozoa,Zooplankton,Dunne2016,,,,
Hyperiidea,Zooplankton,Dunne2016,,,,
Laevilitorina caliginosa,Zooplankton,Dunne2016,,,,
Nereididae,Zooplankton,Dunne2016,,,,
Ophiuroidea,Zooplankton,Dunne2016,,,,
Ophiuroidea,Zooplankton,Dunne2016,,,,
Pagurus comptus,Zooplankton,Dunne2016,,,,
Gammaridea,Aged detritus,Filgueira2011,,,,
Mytilus edulis chilensis,Fresh detritus,Filgueira2011,,,,
Mytilus edulis chilensis,Fresh detritus,Filgueira2011,,,,
Gammaridea,Macroalgae,Filgueira2011,,,,
Gammaridea,Phytoplankton,Filgueira2011,,,,
Mytilus edulis chilensis,Phytoplankton,Filgueira2011,,,,
Amphipoda,Ulva sp.,Filgueira2011,,,,
Gammaridea,Ulva sp.,Filgueira2011,,,,
Patagonotothen ramsayi,Amphipoda,Fischer2019,,,,
Patagonotothen ramsayi,Crustacea,Fischer2019,,,,
Patagonotothen ramsayi,Polychaeta,Fischer2019,,,,
Pagurus comptus,Aged detritus,Gerlach1976,,,,
Pagurus comptus,Bivalvia,Gerlach1976,,,,
Pagurus comptus,Crustacea,Gerlach1976,,,,
Pagurus comptus,Necromass,Gerlach1976,,,,
Pagurus comptus,Polychaeta,Gerlach1976,,,,
Anasterias antarctica,Aulacomya atra,Gil2008,,,,
Anasterias antarctica,Halicarcinus planatus ,Gil2008,,,,
Anasterias antarctica,Mytilus edulis chilensis,Gil2008,,,,
Anasterias antarctica,Nacella magellanica,Gil2008,,,,
Anasterias antarctica,Pagurus comptus,Gil2008,,,,
Anasterias antarctica,Pareuthria fuscata,Gil2008,,,,
Anasterias antarctica,Perumytilus purpuratus,Gil2008,,,,
Anasterias antarctica,Tonicia sp.,Gil2008,,,,
Anasterias antarctica,Trophon geversianus,Gil2008,,,,
Pseudechinus magellanicus,Aged detritus,Gil2015,,,,
Pseudechinus magellanicus,Amphipoda,Gil2015,,,,
Pseudechinus magellanicus,Aulacomya atra,Gil2015,,,,
Pseudechinus magellanicus,Blidingia minima,Gil2015,,,,
Pseudechinus magellanicus,Bostrychia sp.,Gil2015,,,,
Pseudechinus magellanicus,Bryozoa,Gil2015,,,,
Pseudechinus magellanicus,Ceramium diaphanum,Gil2015,,,,
Pseudechinus magellanicus,Ceramium sp.,Gil2015,,,,
Pseudechinus magellanicus,Cladophora sp.,Gil2015,,,,
Pseudechinus magellanicus,Copepoda,Gil2015,,,,
Pseudechinus magellanicus,Delesseriaceae ,Gil2015,,,,
Pseudechinus magellanicus,Derbesia sp.,Gil2015,,,,
Pseudechinus magellanicus,Diatomea,Gil2015,,,,
Pseudechinus magellanicus,Ectocarpus sp.,Gil2015,,,,
Pseudechinus magellanicus,Exosphaeroma gigas,Gil2015,,,,
Pseudechinus magellanicus,Halicarcinus planatus ,Gil2015,,,,
Pseudechinus magellanicus,Hincksia sp.,Gil2015,,,,
Pseudechinus magellanicus,Hydrozoa,Gil2015,,,,
Pseudechinus magellanicus,Macrocystis pyrifera,Gil2015,,,,
Pseudechinus magellanicus,Membranipora isabelleana,Gil2015,,,,
Pseudechinus magellanicus,Mytilus edulis chilensis,Gil2015,,,,
Pseudechinus magellanicus,Pareuthria fuscata,Gil2015,,,,
Pseudechinus magellanicus,Perumytilus purpuratus,Gil2015,,,,
Pseudechinus magellanicus,Phytoplankton,Gil2015,,,,
Pseudechinus magellanicus,Polychaeta,Gil2015,,,,
Pseudechinus magellanicus,Polysiphonia sp.,Gil2015,,,,
Pseudechinus magellanicus,Porifera,Gil2015,,,,
Lithodes santolla,Pseudechinus magellanicus,Gil2015,,,,
Pseudechinus magellanicus,Pseudechinus magellanicus,Gil2015,,,,
Pseudechinus magellanicus,Rhizoclonium sp.,Gil2015,,,,
Pseudechinus magellanicus,Sphacelaria sp.,Gil2015,,,,
Pseudechinus magellanicus,Spirorbinae,Gil2015,,,,
Pseudechinus magellanicus,Ulothrix sp.,Gil2015,,,,
Pseudechinus magellanicus,Ulva sp.,Gil2015,,,,
Pseudechinus magellanicus,Zooplankton,Gil2015,,,,
Ascidiacea,Fresh detritus,Gili1998,,,,
Aulacomya atra,Fresh detritus,Gili1998,,,,
Hydrozoa,Fresh detritus,Gili1998,,,,
Porifera,Fresh detritus,Gili1998,,,,
Hydrozoa,Phytoplankton,Gili1998,,,,
Hydrozoa,Zooplankton,Gili1998,,,,
Hydrozoa,Diatomea,Gili2001,,,,
Hydrozoa,Fresh detritus,Gili2001,,,,
Ascidiacea,Phytoplankton,Gili2001,,,,
Bivalvia,Phytoplankton,Gili2001,,,,
Hydrozoa,Phytoplankton,Gili2001,,,,
Hydrozoa,Zooplankton,Gili2001,,,,
Nereididae,Aged detritus,Glynn1965,,,,
Chthamalus sp.,Diatomea,Glynn1965,,,,
Chthamalus sp.,Fresh detritus,Glynn1965,,,,
Nereididae,Fresh detritus,Glynn1965,,,,
Chthamalus sp.,Phytoplankton,Glynn1965,,,,
Fissurella picta,Macrocystis pyrifera,Godoy1989,,,,
Loxechinus albus,Halopteris sp.,Gonzales2008,,,,
Loxechinus albus,Ulva sp.,Gonzales2008,,,,
Loxechinus albus,Ulva sp.,Gonzales2008,,,,
Eleginops maclovinus,Amphipoda,Guzman1973,,,,
Eleginops maclovinus,Cladophora sp.,Guzman1973,,,,
Eleginops maclovinus,Copepoda,Guzman1973,,,,
Eleginops maclovinus,Ectocarpus sp.,Guzman1973,,,,
Eleginops maclovinus,Halicarcinus planatus ,Guzman1973,,,,
Eleginops maclovinus,Isopoda,Guzman1973,,,,
Eleginops maclovinus,Ostracoda,Guzman1973,,,,
Eleginops maclovinus,Polychaeta,Guzman1973,,,,
Eleginops maclovinus,Rhizoclonium sp.,Guzman1973,,,,
Eleginops maclovinus,Ulva sp.,Guzman1973,,,,
Eleginops maclovinus,Ulva sp.,Guzman1973,,,,
Eleginops maclovinus,Zooplankton,Guzman1973,,,,
Porifera,Diatomea,Ha2019,,,,
Terebellidae,Diatomea,Ha2019,,,,
Siphonaria lessonii,Phytoplankton,Häussermann2009,,,,
Fissurella picta,Ulva sp.,Häussermann2009,,,,
Crepipatella dilatata,Diatomea,Hentschel2008,,,,
Crepipatella dilatata,Fresh detritus,Hentschel2008,,,,
Crepipatella dilatata,Phytoplankton,Hentschel2008,,,,
Crepipatella dilatata,Zooplankton,Hentschel2008,,,,
Copepoda,Phytoplankton,Hopkins1987,,,,
Copepoda,Zooplankton,Hopkins1987,,,,
Congiopodus peruvianus,Crustacea,http://www2.udec.cl/~coyarzun/catalogo/Congiopodidae.htm,,,,
Congiopodus peruvianus,Zooplankton,http://www2.udec.cl/~coyarzun/catalogo/Congiopodidae.htm,,,,
Cephalopoda,Crustacea,https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Cephalopoda,,,,
Cephalopoda,Euphausiacea,https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Cephalopoda,,,,
Cephalopoda,Phytoplankton,https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Cephalopoda,,,,
Cephalopoda,Priapulida,https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Cephalopoda,,,,
Cephalopoda,Zooplankton,https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Cephalopoda,,,,
Stromateus brasiliensis,Copepoda,https://www.inidep.edu.ar/wordpress/?page_id=4445,,,,
Stromateus brasiliensis,Ctenophora,https://www.inidep.edu.ar/wordpress/?page_id=4445,,,,
Stromateus brasiliensis,Polychaeta,https://www.inidep.edu.ar/wordpress/?page_id=4445,,,,
Patagonotothen tessellata,Cirratulidae,Hune2010,,,,
Harpagifer bispinis,Nereididae,Hune2010,,,,
Patagonotothen cornucola,Nereididae,Hune2010,,,,
Patagonotothen cornucola,Nereididae,Hune2010,,,,
Patagonotothen tessellata,Nereididae,Hune2010,,,,
Patagonotothen cornucola,Polychaeta,Hune2010,,,,
Patagonotothen tessellata,Polychaeta,Hune2010,,,,
Harpagifer bispinis,Polynoidae,Hune2010,,,,
Patagonotothen cornucola,Polynoidae,Hune2010,,,,
Patagonotothen cornucola,Polynoidae,Hune2010,,,,
Patagonotothen tessellata,Polynoidae,Hune2010,,,,
Patagonotothen cornucola,Acanthocyclus albatrossis,Hune2016,,,,
Harpagifer bispinis,Amphipoda,Hune2016,,,,
Patagonotothen cornucola,Amphipoda,Hune2016,,,,
Patagonotothen cornucola,Ceramium sp.,Hune2016,,,,
Harpagifer bispinis,Cirripedia,Hune2016,,,,
Harpagifer bispinis,Copepoda,Hune2016,,,,
Patagonotothen cornucola,Copepoda,Hune2016,,,,
Harpagifer bispinis,Exosphaeroma gigas,Hune2016,,,,
Patagonotothen cornucola,Exosphaeroma gigas,Hune2016,,,,
Harpagifer bispinis,Gammaridea,Hune2016,,,,
Patagonotothen cornucola,Gammaridea,Hune2016,,,,
Patagonotothen cornucola,Mytilus edulis chilensis,Hune2016,,,,
Harpagifer bispinis,Nereididae,Hune2016,,,,
Patagonotothen cornucola,Nereididae,Hune2016,,,,
Harpagifer bispinis,Ostracoda,Hune2016,,,,
Patagonotothen cornucola,Ostracoda,Hune2016,,,,
Patagonotothen cornucola,Polychaeta,Hune2016,,,,
Harpagifer bispinis,Polynoidae,Hune2016,,,,
Patagonotothen cornucola,Polynoidae,Hune2016,,,,
Patagonotothen cornucola,Polysiphonia sp.,Hune2016,,,,
Patagonotothen cornucola,Porphyra sp.,Hune2016,,,,
Patagonotothen cornucola,Rhizoclonium sp.,Hune2016,,,,
Patagonotothen cornucola,Tanaidacea,Hune2016,,,,
Champsocephalus esox,Copepoda,Isla1993,,,,
Champsocephalus esox,Munida gregaria,Isla1993,,,,
Champsocephalus esox,Patagonotothen longipes,Isla1993,,,,
Champsocephalus esox,Patagonotothen sima,Isla1993,,,,
Champsocephalus esox,Patagonotothen tessellata,Isla1993,,,,
Myxine glutinosa,Crustacea,Jorgensen1998,,,,
Myxine glutinosa,Necromass,Jorgensen1998,,,,
Myxine glutinosa,Nemertea,Jorgensen1998,,,,
Myxine glutinosa,Polychaeta,Jorgensen1998,,,,
Myxine glutinosa,Priapulida,Jorgensen1998,,,,
Cirratulidae,Aged detritus,Jumars1979,,,,
Glyceridae,Aged detritus,Jumars1979,,,,
Nereididae,Aged detritus,Jumars1979,,,,
Terebellidae,Aged detritus,Jumars1979,,,,
Polynoidae,Copepoda,Jumars1979,,,,
Polynoidae,Crustacea,Jumars1979,,,,
Nereididae,Diatomea,Jumars1979,,,,
Terebellidae,Diatomea,Jumars1979,,,,
Nereididae,Fresh detritus,Jumars1979,,,,
Serpulidae,Fresh detritus,Jumars1979,,,,
Spirorbinae,Fresh detritus,Jumars1979,,,,
Terebellidae,Fresh detritus,Jumars1979,,,,
Polynoidae,Gastropoda,Jumars1979,,,,
Polynoidae,Hydrozoa,Jumars1979,,,,
Polynoidae,Polychaeta,Jumars1979,,,,
Polynoidae,Porifera,Jumars1979,,,,
Terebellidae,Zooplankton,Jumars1979,,,,
Raja (Dipturus) chilensis,Amphipoda,Koen2001,,,,
Raja (Dipturus) chilensis,Arbacia dufresnii,Koen2001,,,,
Raja (Dipturus) chilensis,Cephalopoda,Koen2001,,,,
Raja (Dipturus) chilensis,Congiopodus peruvianus,Koen2001,,,,
Raja (Dipturus) chilensis,Eurypodius latreillii,Koen2001,,,,
Raja (Dipturus) chilensis,Genypterus blacodes,Koen2001,,,,
Raja (Dipturus) chilensis,Isopoda,Koen2001,,,,
Raja (Dipturus) chilensis,Macruronus magellanicus,Koen2001,,,,
Raja (Dipturus) chilensis,Merluccius hubbsi,Koen2001,,,,
Raja (Dipturus) chilensis,Munida gregaria,Koen2001,,,,
Raja (Dipturus) chilensis,Myxine glutinosa,Koen2001,,,,
Raja (Dipturus) chilensis,Patagonotothen ramsayi,Koen2001,,,,
Raja (Dipturus) chilensis,Peltarion spinosulum,Koen2001,,,,
Raja (Dipturus) chilensis,Polychaeta,Koen2001,,,,
Raja (Dipturus) chilensis,Raja (Dipturus) chilensis,Koen2001,,,,
Raja (Dipturus) chilensis,Stromateus brasiliensis,Koen2001,,,,
Careproctus pallidus,Amphipoda,Kortsch2015,,,,
Careproctus pallidus,Careproctus pallidus,Kortsch2015,,,,
Hydrozoa,Fresh detritus,Kortsch2015,,,,
Ostracoda,Fresh detritus,Kortsch2015,,,,
Ostracoda,Zooplankton,Kortsch2015,,,,
Polynoidae,Bryozoa,Kortsch2018,,,,
Bryozoa,Fresh detritus,Kortsch2018,,,,
Membranipora isabelleana,Fresh detritus,Kortsch2018,,,,
Polynoidae,Gammaridea,Kortsch2018,,,,
Polynoidae,Ostracoda,Kortsch2018,,,,
Bryozoa,Phytoplankton,Kortsch2018,,,,
Membranipora isabelleana,Phytoplankton,Kortsch2018,,,,
Polynoidae,Polychaeta,Kortsch2018,,,,
Polynoidae,Porifera,Kortsch2018,,,,
Priapulida,Nereididae,Lang1948,,,,
Schroederichthys bivius,Amphipoda,Laptikhovsky2001,,,,
Schroederichthys bivius,Campylonotus vagans,Laptikhovsky2001,,,,
Schroederichthys bivius,Cephalopoda,Laptikhovsky2001,,,,
Schroederichthys bivius,Crustacea,Laptikhovsky2001,,,,
Schroederichthys bivius,Euphausiacea,Laptikhovsky2001,,,,
Schroederichthys bivius,Eurypodius latreillii,Laptikhovsky2001,,,,
Schroederichthys bivius,Isopoda,Laptikhovsky2001,,,,
Schroederichthys bivius,Macroalgae,Laptikhovsky2001,,,,
Schroederichthys bivius,Munida gregaria,Laptikhovsky2001,,,,
Schroederichthys bivius,Necromass,Laptikhovsky2001,,,,
Schroederichthys bivius,Nemertea,Laptikhovsky2001,,,,
Schroederichthys bivius,Ophiuroidea,Laptikhovsky2001,,,,
Schroederichthys bivius,Patagonotothen ramsayi,Laptikhovsky2001,,,,
Schroederichthys bivius,Peltarion spinosulum,Laptikhovsky2001,,,,
Schroederichthys bivius,Polychaeta,Laptikhovsky2001,,,,
Schroederichthys bivius,Priapulida,Laptikhovsky2001,,,,
Schroederichthys bivius,Sprattus fuegensis,Laptikhovsky2001,,,,
Cottoperca gobio,Amphipoda,Laptikhovsky2003,,,,
Patagonotothen ramsayi,Amphipoda,Laptikhovsky2003,,,,
Cottoperca gobio,Bathyraja albomaculata,Laptikhovsky2003,,,,
Cottoperca gobio,Bathyraja brachyurops,Laptikhovsky2003,,,,
Patagonotothen ramsayi,Bivalvia,Laptikhovsky2003,,,,
Patagonotothen ramsayi,Campylonotus vagans,Laptikhovsky2003,,,,
Cottoperca gobio,Cephalopoda,Laptikhovsky2003,,,,
Patagonotothen ramsayi,Cephalopoda,Laptikhovsky2003,,,,
Patagonotothen ramsayi,Copepoda,Laptikhovsky2003,,,,
Cottoperca gobio,Cottoperca gobio,Laptikhovsky2003,,,,
Cottoperca gobio,Dissostichus eleginoides,Laptikhovsky2003,,,,
Cottoperca gobio,Euphausiacea,Laptikhovsky2003,,,,
Patagonotothen ramsayi,Euphausiacea,Laptikhovsky2003,,,,
Cottoperca gobio,Gastropoda,Laptikhovsky2003,,,,
