"","TL","OI"
"Pseudorca crassidens",2.743,0.836
"Spheniscus magellanicus",2.333,0.222
"Stercorarius chilensis",2.5,0.25
"Tegula atra",2,0
"Cosmasterias lurida",2.845,0.346
"Anasterias antarctica",3.25,0.125
"Paralomis granulosa",2.231,0.178
"Chloephaga hybrida",2,0
"Orcinus orca",2.329,0.324
"Eurypodius latreillei",2.4,0.24
"Acanthina monodon",3,0
"Siphonaria lessonii",2,0
"Fissurella oriens",2,0
"Fissurella radiosa",2,0
"Nacella mytilina",2,0
"Maurolicus australis (larvae)",2,0
"Macruronus magellanicus ",3,0
"Ostracoda",2,0
