ID,TrophicSpecies,TotalDegree,NumPrey,NumPred,Between,TL,Omn
154,Platynereis australis,2,0,2,0,1,0
155,Rhizoclonium sp,1,0,1,0,1,0
156,Chironomidae,1,0,1,0,1,0
157,Austroregia sp.,1,0,1,0,1,0
158,Pluteus larva,1,0,1,0,1,0
159,Aetideus arcuatus,1,0,1,0,1,0
160,Calanoides patagoniensis,1,0,1,0,1,0
161,Calanus simillimus,1,0,1,0,1,0
162,Paracalanus indicus,1,0,1,0,1,0
163,Chitinous remains,1,0,1,0,1,0
164,Diatoms,1,0,1,0,1,0
165,Squid,1,0,1,0,1,0
166,Martialia hyadesii,1,0,1,0,1,0
167,Austrolycus depressiceps,1,0,1,0,1,0
168,Patagonotothen wiltoni,1,0,1,0,1,0
169,Doryteuthis  gahi,1,0,1,0,1,0
170,Hyperiidea,1,0,1,0,1,0
171,Mysida,1,0,1,0,1,0
172,Calanoida,1,0,1,0,1,0
173,Harpacticoida,1,0,1,0,1,0
174,Megacalanus sp.,1,0,1,0,1,0
175,Copepoda,1,0,1,0,1,0
176,Isopoda,4,0,4,0,1,0
177,Pseudonitzschia sp.,1,0,1,0,1,0
178,Rhizosolenia sp.,1,0,1,0,1,0
179,Chaetoceros sp.,1,0,1,0,1,0
180,Centric diatoms,1,0,1,0,1,0
181,Pennate diatoms,1,0,1,0,1,0
182,Asterionellopsis sp.,1,0,1,0,1,0
183,Thalassiosira sp.,1,0,1,0,1,0
184,Ramnogaster arcuata,2,0,2,0,1,0
185,Mazzaella laminarioides,1,0,1,0,1,0
186,Aulacomya atra,5,2,3,2.66666666666667,2,0
187,Hiatella arctica,1,0,1,0,1,0
188,Perumytilus purpuratus,4,2,2,1.66666666666667,2,0
189,Austrochlamys natans,1,0,1,0,1,0
190,Rhodophyta indet,1,0,1,0,1,0
191,Pseudechinus magellanicus,2,0,2,0,1,0
192,Cephalopoda indet,1,0,1,0,1,0
193,Acanthocyclus albatrossis ,1,0,1,0,1,0
194,Enteromorpha sp.,1,0,1,0,1,0
195,Ectocarpus sp.,1,0,1,0,1,0
196,Cladophora sp.,1,0,1,0,1,0
197,Copepods,1,0,1,0,1,0
198,Decapoda,1,0,1,0,1,0
199,Acari,1,0,1,0,1,0
200,Appendicularians,1,0,1,0,1,0
201,Brachiopods,1,0,1,0,1,0
202,Fishes,2,0,2,0,1,0
203,Sediments,1,0,1,0,1,0
204,Otaria byronia,17,16,1,57,2.315,0.343
205,Arctocephalus australis,1,0,1,0,1,0
206,Tachyeres pteneres,1,0,1,0,1,0
207,Pagurus sp.,2,1,1,0.5,2,0
208,Trophon geversianus,6,4,2,4,2.75,0.188
209,Microalgae,1,0,1,0,1,0
210,Phytoplankton,6,0,6,0,1,0
211,Zooplankton,4,0,4,0,1,0
212,Exospheroma gigas,2,0,2,0,1,0
213,Doryteuthis gahi ,1,0,1,0,1,0
214,Tawera elliptica,1,0,1,0,1,0
215,Peltarion spinulosum,1,0,1,0,1,0
216,Merluccius hubbsi,1,0,1,0,1,0
217,Arbacia dufresnii,7,6,1,5.5,2,0
218,Loxechinus albus,7,6,1,10.5,2.167,0.139
219,Antholoba achates,1,1,0,0,3,0
220,Aptenoydes patagonicus,4,4,0,0,2.528,0.28
221,Bathylagichthys parini (larvae),8,8,0,0,2,0
222,Bunodactis octoradiata,1,1,0,0,2,0
223,Calidris canutus,1,1,0,0,3,0
224,Cephalorhynchus commersonii commersonii,12,12,0,0,2.753,0.523
225,Champsocephalus esox,3,3,0,0,2.815,0.34
226,Crepipatella dilatata,1,1,0,0,2,0
227,Labidiaster radiosus,1,1,0,0,2,0
228,Lagenorhynchus australis,9,9,0,0,2.926,0.521
229,Larus dominicanus,3,3,0,0,3,0
230,Lithodes santolla (juvenile),13,13,0,0,2.077,0.071
231,Lontra felina,10,10,0,0,2.3,0.21
232,Megaptera novaeangliae,5,5,0,0,2.4,0.24
233,Nacella deaurata,66,66,0,0,2.015,0.015
234,Nacella magellanica,62,62,0,0,2.016,0.016
235,Oncorhynchus tschawytscha,1,1,0,0,3,0
236,Ophiactis asperula,1,1,0,0,2,0
237,Ophiuroglypha lymani,8,8,0,0,2,0
238,Paraeuthria fuscata,1,1,0,0,2,0
239,Patagonotothen tessellata (larvae),10,10,0,0,2,0
240,Plaxiphora aurata,2,2,0,0,2,0
241,Pseudorca crassidens,5,5,0,0,2.743,0.836
242,Spheniscus magellanicus,6,6,0,0,2.333,0.222
243,Stercorarius chilensis,2,2,0,0,2.5,0.25
244,Tegula atra,3,3,0,0,2,0
245,Cosmasterias lurida,7,7,0,0,2.845,0.346
246,Anasterias antarctica,3,3,0,0,3.25,0.125
247,Paralomis granulosa,13,13,0,0,2.231,0.178
248,Chloephaga hybrida,1,1,0,0,2,0
249,Orcinus orca,4,4,0,0,2.329,0.324
250,Eurypodius latreillei,5,5,0,0,2.4,0.24
251,Acanthina monodon,2,2,0,0,3,0
252,Siphonaria lessonii,3,3,0,0,2,0
253,Fissurella oriens,2,2,0,0,2,0
254,Fissurella radiosa,2,2,0,0,2,0
255,Nacella mytilina,3,3,0,0,2,0
256,Maurolicus australis (larvae),4,4,0,0,2,0
257,Macruronus magellanicus ,1,1,0,0,3,0
258,Ostracoda,2,2,0,0,2,0
